ORAR,,,,,,,,,,,
,,,,,,,,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,,,,,,,,
Specializarea: CALCULATOARE,,,,,,,,,,,
Anul de studii:  I  CA,,,,,,,,,,,
Forma de înv???mânt: INGINERI ZI                                                                          Semestrul I          Anul universitar 2013 – 2014,,,,,,,,,,,
,,,,,,,,,,,
ZIUA,ORA,311 CA,,312 CA,,313 CA,,314 CA,,315 CA,
,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,
LUNI,08-09,"ISTORIA RELIGIILOR (c), Conf. S. PAUN (A04Leu)[2]",,,,,,,,IR(s) - BN219[1],
,09-10,,,,,,,,,,
,10-11,II(l) - EG305[2]{1},IR(s) - BN219[2]{2},II(l) - EG305[2],,IR(s) - BN219[1]#II(l) -EG305[2],,,II(l) - EG305[1]{2}#IR(s) - BN219[2]{2},II(l) - EG305[1],
,11-12,,,,,,,,,,
,12-13,IR(s) - BN219[2]{1},"INTRODUCERE IN INFORMATICA (c), Prof. F. IACOB (EC105)[2]",IR(s) - BN219[1],,,,IR(s) - BN219[2]{1},,,
,13-14,,,,,,,,,,
,14-15,"UTILIZAREA SISTEMELOR DE OPERARE (c), Conf. R. RUGHINIS (EC105)",,,,,,,,,
,15-16,,,,,,,,,,
,16-17,,,,,Mat2(s) - AN213,,USO(l) - EG306{1},,,
,17-18,,,,,,,,,,
,18-19,,,,,USO(l) - EG306{1},,Mat2(s) - AN213,,,
,19-20,,,,,,,,,,
MAR?I,08-09,,,,,,,,,,
,09-10,"PROIECTARE LOGICA (c), Conf. I. BUCUR (AN030)",,,,,,,,,
,10-11,,,,,,,,,,
,11-12,,,,,,,,,,
,12-13,"PROGRAMAREA CALCULATOARELOR (c), Conf. F. POP (AN030)",,,,,,,,,
,13-14,,,,,,,,,,
,14-15,"MATEMATICA 2 (c), Prof. MAT 2 (AN030)",,,,,,,,,
,15-16,,,,,,,,,,
,16-17,,,,,,,,,,
,17s-18,,,,,,,,,,
,18-19,,,,,,,,,,
,19-20,,,,,,,,,,
MIERCURI,08-09,PL(l) - EG311{1},Progr(l) - EG205{2},,,,,,,USO(l){1} - EG306,
,09-10,,,,,,,,,,
,10-11,,,,,,,PL(l) - EG311{1},USO(l) - EG306{2},,
,11-12,,,,,,,,,,
,12-13,USO(l) - EG306{1},,Progr(l) - EG205{1},,,,Mat1(s) - AN210,,PL(l) - EG311{1},
,13-14,,,,,,,,,,
,14-15,,,Mat1(s) - AN210,,,,,PL(l) - EG311{2},Progr(l) - EG205{1},
,15-16,,,,,,,,,,
,16-17,,,USO(l) - EG306{1},PL(l) - EG311{2},,,,,,
,17-18,,,,,,,,,,
,18-19,,,,,,,,,,
,19-20,,,,,,,,,,
JOI,08-09,Mat1(s) - EC002,,Engleza(s) - BN319[1],,Engleza(s) - AN217[2],,Progr(l) - EG205{1},,Engleza(s) - AN217[1],
,09-10,,,,,,,,,,
,10-11,Engleza(s) - BN319[1],,,Progr(l) - EG205{2},,,Engleza(s) - AN217[1],,Mat1(s) - EC002,
,11-12,,,,,,,,,,
,12-13,,,,,,,,,,
,13-14,"MATEMATICA 1 (c), Prof. R. GOLOGAN (A02Leu)",,,,,,,,,
,14-15,,,,,,,,,,
,15-16,,,,,,,,,,
,16-17,"GRAFICA INGINEREASCA (c), Prof S. Aldea (AN030)[1]"#"MECANICA (c), Conf. M. Craifaleanu (AN030)[2]",,,,,,,Progr(l) - EG205{2},,
,17-18,,,,,,,,,,
,18-19,"PSIHOLOGIA EDUCATIEI (c), Lect. Ana Voichita TEBEANU (A02Leu)",,,,,,,,,
,19-20,,,,,,,,,,
VINERI,08-09,Progr(l) - EG105{1},Mat2(s) - AN210{2},,,,PL(l) - EG311{2},,,Mat2(s) - AN210{1},USO(l) - EG306{2}
,09-10,,,,,,,,,,
,10-11,,,,,,Progr(l) - EG205{2},,,,PL(l) -EG311{2}
,11-12,,,,,,,,,,
,12-13,Mat2(s) - BN219{1},PL(l) - EG311{2},,USO(l) - EG306{2},Mat1(s) - BN319,,,,,Mat2(s) - BN219{2}
,13-14,,,,,,,,,,
,14-15,,USO(l) - EG306{2},Mat2(s) - BN219,,PL(l) -EG311{1},USO(l) - EG106{2},,,,Progr(l) - EG205{2}
,15-16,,,,,,,,,,
,16-17,,,PL(l) -EG311{1},,Progr(l) - EG205{1},,,,,
,17-18,,,,,,,,,,
,18-19,,,,,,,,,,
,19-20,,,,,,,,,,
E
,,,,,,,,,,,
Mentiuni:,,Laboratoarele optionale de Mecanica  se desfasoara in salile BN033/BN034 luni 8-12 impar.,,,,,,,,,
,,Laboratoarele optionale de Introducere in Informatica (II)  se desfasoara Luni 8-12 si Joi 8-14 in EG 305.,,,,,,,,,
,,Laboratoarele optionale de Grafica inginereasca se stabilesc la curs.,,,,,,,,,
,,Seminariile de Psihologie Educationala se stabilesc la curs,,,,,,,,,
,,Orarul pentru Educatia Fizica se gaseste la sala de sport.,,,,,,,,,
,,,,,,,,,,,
Întocmit:   ,,?.l. Dr. Ing. Mihnea MURARU (mihnea.muraru@cs.pub.ro),,,,,,"DECAN,",,,
Departament:    ,,Calculatoare,,,,,,Prof. Dr. Ing. Adina Magda FLOREA,,,
Coordonator: ,,Conf. Dr. Ing Cornel POPESCU (cornel.popescu@cs.pub.ro),,,,,,,,,
