ORAR,,,,,,,,,,,,,
,,,,,,,,,,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,,,,,,,,,,
Specializarea: CALCULATOARE,,,,,,,,,,,,,
Anul de studii:  I  CC,,,,,,,,,,,,,
Forma de înv???mânt: INGINERI ZI                                                                                                          Semestrul I          Anul universitar 2013 – 2014,,,,,,,,,,,,,
,,,,,,,,,,,,,
ZIUA,ORA,311 CC,,312 CC,,313 CC,,314 CC,,315 CC,,316 CC,
,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,
LUNI,08-09,,PL(l) - EG311{2},Mat1(s) - AN205,,,,II(l) - EG305[1]#IF(s) - BN219[2],,,,PL(l) - EG302{1},II(l) - EG305[2]{2}
,09-10,,,,,,,,,,,,
,10-11,II(l) - EG305[1]#IF(s) - AN213[2],,,,,II(l) - EG305[2],PL(l) - EG311{1},PL(l) - EG302{2},,,Mat1(s) - AN205,
,11-12,,,,,,,,,,,,
,12-13,PL(l) - EG311{1},,IF(s) - BN314[2]{1},"INTRODUCERE IN INFORMATICA (c), Prof. F. IACOB (EC105)[2]",,IF(s) - BN314[2]{2},USO(l) - EG306{1},,,,,PL(l) - EG302{2}
,13-14,,,,,,,,,,,,
,14-15,,USO(l) - EG306{2},,IF(s) - BN314[2]{2},IF(s) - BN314[2]{1},,,,,,Franceza(s) - AN217[1],
,15-16,,,,,,,,,,,,
,16-17,"UTILIZAREA SISTEMELOR DE OPERARE (c), S.l. R. DEACONESCU (EC105)",,,,,,,,,,,
,17-18,,,,,,,,,,,,
,18-19,,,,,,,,,,,,
,19-20,,,,,,,,,,,,
MAR?I,08-09,,,USO(l) - EG306{1},,Mat1(s) - AN205,,,,PL(l) - EG311{1},PL(l) - EG302{2},Progr(l) - EG105,
,09-10,,,,,,,,,,,,
,10-11,,,PL(l) - EG311{1},PL(l) - EG302{2},Progr(l) - EG105,,,,Mat2(s) - AN205,,USO(l) - EG306{1},
,11-12,,,,,,,,,,,,
,12-13,,,,USO(l) - EG306{2},PL(l) - EG311{1},PL(l) - EG302{2},,,Progr(l) - EG105,,Mat2(s) - AN205,
,13-14,,,,,,,,,,,,
,14-15,,,Progr(l) - EG105,,Mat2(s) - AN205,,,,,,,USO(l) - EG306{2}
,15-16,,,,,,,,,,,,
,16-17,,,Mat2(s) - AN205,,,,,,,USO(l) - EG306{2},,
,17-18,,,,,,,,,,,,
,18-19,,,,,,USO(l) - EG306{2},,,,,,
,19-20,,,,,,,,,,,,
MIERCURI,08-09,,,,,,,,,,,,
,09-10,"MATEMATICA 1 (c), Prof. M. OLTEANU (A02Leu)",,,,,,,,,,,
,10-11,,,,,,,,,,,,
,11-12,,,,,,,,,,,,
,12-13,"MATEMATICA 2 (c), S.l. A. BALAN (A02Leu)",,,,,,,,,,,
,13-14,,,,,,,,,,,,
,14-15,,,,,,,,,,,,
,15-16,,,,,,,,,,,,
,16-17,Mat1(s) - AN210,,,,,,Mat2(s) - AN205,,Mat1(s) - BN319,,,
,17-18,,,,,,,,,,,,
