,,,,,,,,,,,
ORAR,,,,,,,,,,,
,,,,,,,,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,,,,,,,,
Specializarea: CALCULATOARE,,,,,,,,,,,
Anul de studii:  II  CA,,,,,,,,,,,
Forma de înv???mânt: INGINERI ZI                                                                         Semestrul I          Anul universitar 2013 - 2014,,,,,,,,,,,
,,,,,,,,,,,
ZIUA,ORA,321 CA,,322 CA,,323 CA,,324 CA,,325 CA,
,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,
LUNI,08-09,,,,,,,,,,
,09-10,,,,,,,,,,
,10-11,,,,,,,,,,
,11-12,,,,,,,,,,
,12-13,POO(l) - EG103b{1},,,,AA(l) - EG209{1},,Engleza(s) - BN319[2],,Engleza(s) - BN319[1],
,13-14,,,,,,,,,,
,14-15,,POO(l) - EG103b{2},AA(l) - EG209{1},,,,,,EEA(s) - ED314[1],
,15-16,,,,,,,,,,
,16-17,,,,,,,,,,
,17-18,"ELEMENTE DE ELECTRONICA ANALOGICA (c), Dr.ing. C. TRISCA (EC004)",,,,,,,,,
,18-19,,,,,,,,,,
,19-20,,,,,,,,,,
MAR?I,08-09,,AA(l) - EG209{2},TS(l) - ED112[1]#TS(s) - ED112[2],,EEA(s) - ED314[1]#Engleza(s) - AN217[2],,,EEA(s) - ED314[2],EEA(l) - ED313[1]{1},EEA(l) - ED313[2]{2}
,09-10,,,,,,,,,,
,10-11,Engleza(s) - AN217[1]#EEA(s) - ED314[2],,EEA(s) - ED314[1]#Engleza(s) - AN217[2],,,AA(l) - EG209{2},TS(l) - ED112[1]#TS(s) - ED112[2],,,
,11-12,,,,,,,,,,
,12-13,IOCLA(l) - EG103{1},IOCLA(l) - EG410{2},,,TS(l) - ED112[1]#TS(s) - ED112[2],,,AA(l) - EG209{2},,
,13-14,,,,,,,,,,
,14-15,TS(l) - ED112[1]#TS(s) - ED112[2],,,AA(l) - EG209{2},,,,,,
,15-16,,,,,,,,,,
,16-17,,,,,,,AA(l) - EG209{1},,,
,17-18,,,,,,,,,,
,18-19,AA(l) - EG209{1},,,,,,,,TS(l) - ED112[1]#TS(s) - ED112[2],
,19-20,,,,,,,,,,
MIERCURI,08-09,,,,,IOCLA(l) - EG305{1},IOCLA(l) - EG410{2},,,POO(l) - EG103{1},POO(l) - EG405{2}
,09-10,,,,,,,,,,
,10-11,,,EEA(l) - ED313[1]{1},EEA(l) - ED313[2]{2},POO(l) - EG103{1},POO(l) - EG405{2},,,IOCLA(l) - EG305{1},IOCLA(l) - EG410{2}
,11-12,,,,,,,,,,
,12-13,,,POO(l) - EG103b{1},POO(l) - EG405{2},,,IOCLA(l) - EG305{1},IOCLA(l) - EG410{2},,AA(l) - EG209{2}
,13-14,,,,,,,,,,
,14-15,,,,,,,POO(l) - EG103b{1},POO(l) - EG405{2},AA(l) - EG209{1},
,15-16,,,,,,,,,,
,16-17,,,,,,,,,,
,17-18,,,,,,,,,,
,18-19,,,,,,,EEA(l) - ED313[1]{1},EEA(l) - ED313[2]{2},,
,19-20,,,,,,,,,,
JOI,08-09,"TEORIA SISTEMELOR (c), Prof. S. SERBAN (AN030)",,,,,,,,,
,09-10,,,,,,,,,,
,10-11,,,,,,,,,,
,11-12,"INTRODUCERE IN ORGANIZAREA CALCULATOARELOR SI LIMBAJE DE ASAMBLARE (c), Prof. V. LUNGU (EC105)",,,,,,,,,
,12-13,,,,,,,,,,
,13-14,,,,,,,,,,
,14-15,,,"FILOZOFIE COGNITIVISTA (c), Conf. M. OANCEA (A02Leu)[2]",,,,,,,
,15-16,,,,,,,,,,
,16-17,EEA(l) - ED313[1]{1},EEA(l) - ED313[2]{2},"PEDAGOGIE (c), S.L. Simona GABUREANU (A04Leu)",,,,,,,
,17-18,,,,,,,,,,
,18-19,"MATEMATICA 4 (c), Prof MAT 4 (A04Leu)",,,,EEA(l) - ED313[2]{1},EEA(l) - ED313[1]{2},PED(s) - EC002,,,
,19-20,,,,,,,,,,
VINERI,08-09,"PROGRAMARE ORIENTATA PE OBIECTE (c), Conf. Lorina NEGREANU (EC004)",,,,,,,,,
,09-10,,,,,,,,,,
,10-11,,,,,,,,,,
,11-12,"ANALIZA ALGORITMILOR (c), Prof. St. TRAUSAN-MATU (EC101)",,,,,,,,,
,12-13,,,,,,,,,,
,13-14,,,,,,,,,,
,14-15,FC(s) - AN205[1],,,,FC(s) - AN205[2],,,,,
,15-16,,,,,,,,,,
,16-17,,,IOCLA(l) - EG305{1},IOCLA(l) - EG410{2},,,FC(s) - AN205[1],,FC(s) - AN205[2],
,17-18,,,,,,,,,,
,18-19,,,FC(s) - AN205[2],,,,,,,
,19-20,,,,,,,,,,
E
,,,,,,,,,,,
Mentiuni:,,Sala pentru laboratorul de EEA este ED313 pentru toate grupele.,,,,,,,,,
