ORAR,,,,,,,,,,,
,,,,,,,,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,,,,,,,,
Specializarea: CALCULATOARE,,,,,,,,,,,
Anul de studii:  II  CB,,,,,,,,,,,
Forma de înv???mânt: INGINERI ZI                                                                                          Semestrul I          Anul universitar 2013 - 2014,,,,,,,,,,,
,,,,,,,,,,,
ZIUA,ORA,321 CB,,322 CB,,323 CB,,324 CB,,325 CB,
,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,
LUNI,08-09,"PROGRAMARE ORIENTATA OBIECT (c), Dr.ing. M. DASCALU (AN030)",,,,,,,,,
,09-10,,,,,,,,,,
,10-11,,,,,,,,,,
,11-12,"TEORIA SISTEMELOR (c), Prof. S. SERBAN (AN030)",,,,,,,,,
,12-13,,,,,,,,,,
,13-14,,,,,,,,,,
,14-15,FCT(s) - AN213[1]#EEA(s) - ED314[2],,,FCT(s) - AN213[2],TS(l) - ED112[1]#TS(s) - ED112[2],,POO(l) - EG105,,,
,15-16,,,,,,,,,,
,16-17,TS(l) - ED112[1]#TS(s) - ED112[2],,POO(l) - EG405,,,,,,AA(l) - EG209,
,17-18,,,,,,,,,,
,18-19,,,,,AA(l) - EG209,,,,POO(l) - EG105,
,19-20,,,,,,,,,,
MAR?I,08-09,"PEDAGOGIE (c), S.L. Simona GABUREANU (EC002)",,,,,,,,,
,09-10,,,,,,,,,,
,10-11,,,Engleza(s) - BN219[1],,Engleza(s) - BN219[2],,,,,
,11-12,,,,,,,,,,
,12-13,,,,,,,Engleza(s) - BN219[2],,Engleza(s) - BN219[1],
,13-14,,,,,,,,,,
,14-15,,,,,IOCLA(l) - EG103{1},IOCLA(l) - EG410{2},,,,
,15-16,,,,,,,,,,
,16-17,,,,,,,IOCLA(l) - EG103{1},IOCLA(l) - EG410{2},TS(l) - ED112[1]#TS(s) - ED112[2],
,17-18,,,,,,,,,,
,18-19,,,,,,,,,IOCLA(l) - EG103{1},IOCLA(l) - EG410{2}
,19-20,,,,,,,,,,
MIERCURI,08-09,,,,,,,,,,
,09-10,,,,,,,,,,
,10-11,,,,,,,,,,
,11-12,,,,,,,,,,
,12-13,,,,,,,EEA(s) - ED314[1],,EEA(s) - ED314[2],
,13-14,,,,,,,,,,
,14-15,,,EEA(s) - ED314[1],,EEA(s) - ED314[2],,,,,
,15-16,,,,,,,,,,
,16-17,"ELEMENTE DE ELECTRONICA ANALOGICA (c), S.L. A. SURPATEANU (EC105)",,,,,,,,,
,17-18,,,,,,,,,,
,18-19,,,,,,,,,,
,19-20,,,,,,,,,,
JOI,08-09,,,EEA(l) - ED313[1]{1},EEA(l) - ED313[2]{2},,,,,,
,09-10,,,,,,,,,,
,10-11,,,,,,,,,EEA(l) - ED313[1]{1},EEA(l) - ED313[2]{2}
,11-12,,,,,,,,,,
,12-13,Engleza(s) - BN219[2],,IOCLA(l) - EG103{1},IOCLA(l) - EG410{2},EEA(l) - ED313[1]{1},EEA(l) - ED313[2]{2},AA(l) - EG209,,,
,13-14,,,,,,,,,,
,14-15,"FILOZOFIA CULTURII TEHNICE (c), Conf. M. OANCEA (A04Leu)[1]",,,,,,,,,
,15-16,,,,,,,,,,
,16-17,IOCLA(l) - EG103{1},IOCLA(l) - EG410{2},AA(l) - EG209,,FCT(s) - AN213[2],,TS(l) - ED112[1]#TS(s) - ED112[2],,FCT(s) - AN213[1],
,17-18,,,,,,,,,,
,18-19,AA(l) - EG209,,TS(l) - ED112[1]#TS(s) - ED112[2],,,,FCT(s) - AN213[1],,,
,19-20,,,,,,,,,,
VINERI,08-09,"INTRODUCERE IN ORGANIZAREA CALCULATOARELOR SI LIMBAJE DE ASAMBLARE (c), Prof. V. LUNGU (EC105)",,,,,,,,,
,09-10,,,,,,,,,,
,10-11,,,,,,,,,,
,11-12,"ANALIZA ALGORITMILOR (c), S.L. M. POPOVICI (EC004)",,,,,,,,,
,12-13,,,,,,,,,,
,13-14,,,,,,,,,,
,14-15,,,,,,,,,,
,15-16,,,,,,,,,,
,16-17,EEA(l) - ED313[1]{1},EEA(l) - ED313[2]{2},,,POO(l) - EG405,,,,,
,17-18,,,,,,,,,,
,18-19,POO(l) - EG105,,,,,,EEA(l) - ED313[1]{1},EEA(l) - ED313[2]{2},,
,19-20,,,,,,,,,,
E
,,,,,,,,,,,
Mentiuni:,,Sala pentru laboratorul de EEA este ED313 pentru toate grupele.,,,,,,,,,
,,Sala pentru seminarul de EEA este  pentru toate grupele.,,,,,,,,,
,,"Cursul de PEDAGOGIE se desfasoara marti 8-10 in EC002, s.l. Simona Gabureanu, seminarul se stabileste la curs",,,,,,,,,
,,Sport facultativ o ora pe saptamana se stabileste cu profesorul,,,,,,,,,
,,Matematica Discreta MAT 4 este comuna pentru studentii optanti de la toate seriile de ani IIC joi 18-20 in A04 Leu,,,,,,,,,
,,,,,,,,,,,
Întocmit:   ,,Conf. Dr. Ing. Florin POP,,,e-mail: florin.pop@cs.pub.ro,,,,,,
,,Drd.Ing. Catalin Negru,,,e-mail: catalin.negru@cs.pub.ro,,,,,,
Catedra:    ,,Calculatoare,,,,,,"DECAN,",,,
Coordonator: ,,Conf. Dr. Ing Cornel POPESCU (cornel.popescu@cs.pub.ro),,,,,,Prof. Dr. Ing. Adina-Magda FLOREA,,,
