ORAR,,,,,,,,,,,
,,,,,,,,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,,,,,,,,
Specializarea: CALCULATOARE,,,,,,,,,,,
Anul de studii:  II  CC,,,,,,,,,,,
Forma de înv???mânt: INGINERI ZI                                                                                          Semestrul I          Anul universitar 2013 - 2014,,,,,,,,,,,
,,,,,,,,,,,
ZIUA,ORA,321 CC,,322 CC,,323 CC,,324 CC,,325 CC,
,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,
LUNI,08-09,,,,,,,EEA(l) - ED313[1]{1},EEA(l) - ED313[2]{2},,
,09-10,,,,,,,,,,
,10-11,,,,,EEA(l) - ED313[1]{1},EEA(l) - ED313[2]{2},,,Franceza(s) - AN213[1]#EEA(s) - ED314[2],
,11-12,,,,,,,,,,
,12-13,EEA(s) - ED314[2],,,,,,EEA(s) - ED314[1],,,
,13-14,,,,,,,,,,
,14-15,"ANALIZA ALGORITMILOR (c), S.L. A. MOGOS (AN030)",,,,,,,,,
,15-16,,,,,,,,,,
,16-17,,,,,,,,,,
,17-18,"TEORIA SISTEMELOR (c), Conf. C. CORICI (AN030)",,,,,,,,,
,18-19,,,,,,,,,,
,19-20,,,,,,,,,,
MAR?I,08-09,"PEDAGOGIE (c), S.L. Simona GABUREANU (EC002)",,,,,,,,,
,09-10,,,,,,,,,,
,10-11,,,,,,,,,,
,11-12,,,,,,,,,,
,12-13,,,EEA(s) - ED314[2],,EEA(s) - ED314[1],,,,,
,13-14,,,,,,,,,,
,14-15,"PROGRAMARE ORIENTATA PE OBIECTE (c), S.l. Carmen ODUBASTEANU (EC101)",,,,,,,,,
,15-16,,,,,,,,,,
,16-17,,,,,,,,,,
,17-18,"ELEMENTE DE ELECTRONICA ANALOGICA (c), S.L. A. SURPATEANU (EC105)",,,,,,,,,
,18-19,,,,,,,,,,
,19-20,,,,,,,,,,
MIERCURI,08-09,POO(l) - EG105,,AA(l) - EG209,,,,TS(l) - ED112[1]#TS(s) - ED112,,EEA(l) - ED313[1]{1},EEA(l) - ED313[2]{2}
,09-10,,,,,,,,,,
,10-11,TS(l) - ED112[1]#TS(s) - ED112[2],,POO(l) - EG105,,,,AA(l) - EG209,,,
,11-12,,,,,,,,,,
,12-13,,,,,,,POO(l) - EG105,,TS(l) - ED112[1]#TS(s) - ED112[2],
,13-14,,,,,,,,,,
,14-15,Engleza(s) - BN319[2],,TS(l) - ED112[1]#TS(s) - ED112[2],,POO(l) - EG105,,,,,
,15-16,,,,,,,,,,
,16-17,,,,,TS(l) - ED112[1]#TS(s) - ED112[2],,,,,
,17-18,,,,,,,,,,
,18-19,,,,,,,,,,
,19-20,,,,,,,,,,
JOI,08-09,,,,,PSI(s) - BN319[2],,,,,
,09-10,,,,,,,,,,
,10-11,PSI(s) - BN219[1],,Engleza(s) - AN217[2],,,,,,PSI(s) - BN219[2],
,11-12,,,,,,,,,,
,12-13,,"PSIHOINVENTICA (c), lector Beatrice BALGIU (AN030)[2]",PSI(s) - BN219[1],,Engleza(s) - BN319[1],,Engleza(s) - AN211[1],,,
,13-14,,,,,,,,,,
,14-15,IOCLA(l) - EG103{1},IOCLA(l) - EG410{2},,,,,PSI(s) - AN210[1],,Germana(s) - AN213[1],
,15-16,,,,,,,,,,
,16-17,,,,,,,,,,
,17-18,,,,,,,,,,
,18-19,"MATEMATICA 4 (c), Prof MAT 4 (A04Leu)",,,,,,IOCLA(l) - EG103[1]{1},IOCLA(l) - EG410[2]{2},,
,19-20,,,,,,,,,,
VINERI,08-09,"INTRODUCERE IN ORGANIZAREA CALCULATOARELOR SI LIMBAJE DE ASAMBLARE (c), Prof. V. LUNGU (EC105)",,,,,,,,,
,09-10,,,,,,,,,,
,10-11,,,,,,,,,,
,11-12,,,,,,,,,,
,12-13,EEA(l) - ED313[1]{1},EEA(l) - ED313[2]{2},IOCLA(l) - EG305{1},IOCLA(l) - EG410{2},AA(l) - EG209,,,,,
,13-14,,,,,,,,,,
,14-15,AA(l) - EG209,,EEA(l) - ED313[1]{1},EEA(l) - ED313[2]{2},IOCLA(l) - EG305{1},IOCLA(l) - EG410{2},,,POO(l) - EG105,
,15-16,,,,,,,,,,
,16-17,,,,,,,,,AA(l) - EG209,
,17-18,,,,,,,,,,
,18-19,,,,,,,,,IOCLA(l) - EG305{1},IOCLA(l) - EG410{2}
,19-20,,,,,,,,,,
E
,,,,,,,,,,,
Mentiuni:,,Sala pentru laboratorul de EEA este ED313 pentru toate grupele.,,,,,,,,,
,,Sala pentru seminarul de EEA este ED314 pentru toate grupele.,,,,,,,,,
,,"Cursul de PEDAGOGIE se desfasoara marti 8-10 in EC002, s.l. Simona Gabureanu, seminarul se stabileste la curs",,,,,,,,,
,,Sport facultativ o ora pe saptamana se stabileste cu profesorul,,,,,,,,,
,,Matematica Discreta MAT 4 este comuna pentru studentii optanti de la toate seriile de ani IIC joi 18-20 in A04 Leu,,,,,,,,,
,,,,,,,,,,,
Întocmit:   ,,Conf. Dr. Ing. Florin POP,,,e-mail: florin.pop@cs.pub.ro,,,,,,
,,Drd.Ing. Catalin Negru,,,e-mail: catalin.negru@cs.pub.ro,,,,,,
Catedra:    ,,Calculatoare,,,,,,"DECAN,",,,
Coordonator: ,,Conf. Dr. Ing Cornel POPESCU (cornel.popescu@cs.pub.ro),,,,,,Prof. Dr. Ing. Adina-Magda FLOREA,,,
