ORAR,,,,,,,,,
,,,,,,,,,
Facultatea: AUTOMATIC? ?I CALCULATOARE,,,,,,,,,
Specializarea: CALCULATOARE,,,,,,,,,
Anul de studii:  III  CA,,,,,,,,,
Forma de înv???mânt: INGINERI ZI                                     Semestrul I           Anul universitar 2013 - 2014,,,,,,,,,
,,,,,,,,,
ZIUA,ORA,331 CA,,332 CA,,333 CA,,334 CA,
,,Disciplina ?i sala,,Disciplina ?i sala,,Disciplina ?i sala,,Disciplina ?i sala,
LUNI,08-09,APD(l) - ED120{1},,CN(l) - EG206{1},,,RL(l) - EG207{2},,
,09-10,,,,,,,,
,10-11,RL(l) - EG207{1},APD(l) - ED120{2},,,,CN(l) - EG206{2},,
,11-12,,,,,,,,
,12-13,,,EGC(l) - EG304{1},CN(l) - EG206{2},,APD(l) - ED120{2},,
,13-14,,,,,,,,
,14-15,,CN(l) - EG206{2},LFA(s) - AN210,,,EGC(l) - EG304{2},,
,15-16,,,,,,,,
,16-17,LFA(s) - AN210,,APD(l) - ED120{1},EGC(l) - EG304{2},,,RL(l) - EG207{1},CN(l) - EG206{2}
,17-18,,,,,,,,
,18-19,,,RL(l) - EG207{1},APD(l) - ED120{2},,,CN(l) - EG206{1},EGC(l) - EG304{2}
,19-20,,,,,,,
MARTI,08-09,,RL(l) - EG207{2},,,LFA(s) - AN210,,EG(s) - BN217[2],
,09-10,,,,,,,,
,10-11,,,,,,,,
,11-12,"ALGORITMI PARALELI SI DISTRIBUITI (c), Prof. V. CRISTEA (EC101)",,,,,,,
,12-13,,,,,,,,
,13-14,,,,,,,,
,14-15,"LIMBAJE FORMALE SI AUTOMATE (c), Conf. Lorina NEGREANU (EC105)",,,,,,,
,15-16,,,,,,,,
,16-17,,,,,,,,
,17-18,,,,,,,,
,18-19,EGC(l) - EG304{1},,,,,,,
,19-20,,,,,,,,
MIERCURI,08-09,,,,RL(l) - EG207{2},APD(l) - ED120{1},,LFA(s) - AN217,
,09-10,,,,,,,,
,10-11,,,,,,,,
,11-12,"RETELE LOCALE (c), Prof. N. TAPUS  (EC004)",,,,,,,
,12-13,,,,,,,,
,13-14,,,,,,,,
,14-15,"ECONOMIE GENERALA (c), Conf. Corina DUMITRESCU (EC002)",,,,,,,
,15-16,"CALCULATOARE NUMERICE II (c), S.l. D. TUDOSE (A02Leu)",,,,,,,
,16-17,,,,,,,,
,17-18,,,,,,,,
,18-19,,EGC(l) - EG304{2},,,,,,
,19-20,,,,,,,,
JOI,08-09,,,,,,,,
,09-10,,,,,,,,
,10-11,,,,,,,,
,11-12,"ELEMENTE DE GRAFICA PE CALCULATOR (c), Prof. Florica MOLDOVEANU (EC004)",,,,,,,
,12-13,,,,,,,,
,13-14,,,,,,,,
,14-15,CN(l) - EG206{1},,,,EG(s) - BN217[1],,,
,15-16,,,,,,,,
,16-17,EG(s) - BN217[1],,EG(s) - BN217[2],,CN(l) - EG206{1},,,
,17-18,,,,,,,,
,18-19,,,,,,,,
,19-20,,,,,,,,
VINERI,08-09,,,,,RL(l) - EG207{1},,EGC(l) - EG304{1},APD(l) - ED120{2}
,09-10,,,,,,,,
,10-11,,,,,EGC(l) - EG304{1},,APD(l) - ED120{1},RL(l) - EG207{2}
,11-12,,,,,,,,
,12-13,,,,,,,,
,13-14,,,,,,,,
,14-15,,,,,,,,
,15-16,,,,,,,,
,16-17,,,,,,,,
,17-18,,,,,,,,
,18-19,,,,,,,,
,19-20,,,,,,,,
E
,,,,,,,,,
,Sali laboratoare: BIOINGINERIE - BN 034; PACME - B1 LEU;,,,,,,,,
Nota:,Cursurile facultative de BIOINGINERIE si PACME se desfasoara Vineri 14-16 impreuna cu toti anii III A si C in EC002 si B1Leu,,,,,,,,
,Cursul facultativ de INSTRUIRE ASISTATA DE CALCULATOR se desfasoara cu toti anii III A si C joi 8-10 in A02Leu,,,,,,,,
,EG - ECONOMIE GENERALA (conf. Corina DUMITRESCU),,,,,,,,
,PACME - PROIECTAREA ASISTATA DE CALCULATOR A MODULELOR ELECTRONICE,,,,,,,,
,Seminariile si laboratoarele facultative se stabilesc la cursuri,,,,,,,,
,,,,,,,,,
Intocmit:,,R?zvan Deaconescu (razvan.deaconescu@cs.pub.ro),,,,,,,
Departament:,,Calculatoare,,,,,,,"DECAN,"
Coordonator:,,Conf. C. Popescu (cornel.popescu@cs.pub.ro),,,,,,,Prof. Dr. Ing. Adina Magda FLOREA
