ORAR,,,,,,,,,
,,,,,,,,,
Facultatea: AUTOMATIC? ?I CALCULATOARE,,,,,,,,,
Specializarea: CALCULATOARE,,,,,,,,,
Anul de studii:  III  CB,,,,,,,,,
Forma de înv???mânt: INGINERI ZI                                     Semestrul I           Anul universitar 2013 - 2014,,,,,,,,,
,,,,,,,,,
ZIUA,ORA,331 CB,,332 CB,,333 CB,,334 CB,
,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,
LUNI,08-09,,,CN(l) - ED220{1},,,,,
,09-10,,,,,,,,
,10-11,,,,,CN(l) - ED220{1},,,
,11-12,,,,,,,,
,12-13,,,RL(l) - EG207{1},,,,,
,13-14,,,,,,,,
,14-15,"ALGORITMI PARALELI SI DISTRIBUITI (c), Prof. V. CRISTEA (EC101)",,,,,,,
,15-16,,,,,,,,
,16-17,,,,,,,,
,17-18,"CALCULATOARE NUMERICE II (c), Conf. D. POPESCU (EC101)",,,,,,,
,18-19,,,,,,,,
MARTI,08-09,,,,,LFA(s) - AN213,,,
,09-10,,,,,,,,
,10-11,CN(l) - EG206{1},,EG(s) - BN217[2],,EG(s) - BN217[1],,,
,11-12,,,,,,,,
,12-13,EG(s) - BN217[1],"ECONOMIE GENERALA (c), Conf. Corina DUMITRESCU (EC102)[2]",,,,,,
,13-14,,,,,,,,
,14-15,"LIMBAJE FORMALE SI AUTOMATE (c), Conf. Lorina NEGREANU (EC105)",,,,,,,
,15-16,,,,,,,,
,16-17,,,,,,,,
,17-18,"RETELE LOCALE (c), Conf. R. RUGHINIS (EC004)",,,,,,,
,18-19,,,,,,,,
MIERCURI,08-09,"ELEMENTE DE GRAFICA PE CALCULATOR (c), s.l. Irina MOCANU (EC004)",,,,,,,
,09-10,,,,,,,,
,10-11,,,,,,,,
,11-12,,,,,,,,
,12-13,EGC(l) - EG304,,,RL(l) - EG207{2},,,,
,13-14,,,,,,,,
,14-15,APD(l) - ED120{1},RL(l) - EG207{2},EGC(l) - EG304,,,,EG(s) - BN217[1],
,15-16,,,,,,,,
,16-17,,,APD(l) - ED120{1},,,,RL(l) - EG207{1},
,17-18,,,,,,,,
,18-19,RL(l) - EG207{1},,,,,,APD(l) - ED120{1},
,19-20,,,,,,,,
JOI,08-09,,,LFA(s) - AN205,,,,,
,09-10,,,,,,,,
,10-11,,,,CN(l) - EG206{2},,,,
,11-12,,,,,,,,
,12-13,,,,APD(l) - ED120{2},,,,CN(l) - EG206{2}
,13-14,,,,,,,,
,14-15,,,,,,,,RL(l) - EG207{2}
,15-16,,,,,,,,
,16-17,,,,,,,LFA(s) - AN205,
,17-18,,,,,,,,
,18-19,LFA(s) - AN205,,,,,,,
,19-20,,,,,,,,
VINERI,08-09,,,,,,,,
,09-10,,,,,,,,
,10-11,,,,,,CN(l) - EG206{2},,
,11-12,,,,,,,,
,12-13,,,,,RL(l) - EG207{1},APD(l) - ED120{2},,
,13-14,,,,,,,,
,14-15,,,,,APD(l) - ED120{1},RL(l) - EG207{2},CN(l) - EG206{1},
,15-16,,,,,,,,
,16-17,,CN(l) - EG206{2},,,EGC(l) - EG304,,,APD(l) - ED120{2}
,17-18,,,,,,,,
,18-19,,APD(l) - ED120{2},,,,,EGC(l) - EG304,
,19-20,,,,,,,,
E
,,,,,,,,,
,Sali laboratoare: BIOINGINERIE - BN 034; PACME - B1 LEU;,,,,,,,,
Nota:,Cursurile facultative de BIOINGINERIE si PACME se desfasoara Vineri 14-16 impreuna cu toti anii III A si C in EC002 si B1Leu,,,,,,,,
,Cursul facultativ de INSTRUIRE ASISTATA DE CALCULATOR se desfasoara cu toti anii III A si C joi 8-10 in A02Leu,,,,,,,,
,EG - ECONOMIE GENERALA (conf. Corina DUMITRESCU),,,,,,,,
,PACME - PROIECTAREA ASISTATA DE CALCULATOR A MODULELOR ELECTRONICE,,,,,,,,
,Seminariile si laboratoarele facultative se stabilesc la cursuri,,,,,,,,
,,,,,,,,,
Intocmit:,,R?zvan Deaconescu (razvan.deaconescu@cs.pub.ro),,,,,,,
Departament:,,Calculatoare,,,,,,,"DECAN,"
Coordonator:,,Conf. C. Popescu (cornel.popescu@cs.pub.ro),,,,,,,Prof. Dr. Ing. Adina Magda FLOREA
