ORAR,,,,,,,,,
,,,,,,,,,
Facultatea: AUTOMATIC? ?I CALCULATOARE,,,,,,,,,
Specializarea: CALCULATOARE,,,,,,,,,
Anul de studii:  III  CC,,,,,,,,,
Forma de înv???mânt: INGINERI ZI                                         Semestrul I           Anul universitar 2013 - 2014,,,,,,,,,
,,,,,,,,,
ZIUA,ORA,331 CC,,332 CC,,333 CC,,334 CC,
,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,
LUNI,08-09,"LIMBAJE FORMALE SI AUTOMATE (c), s.l. Irina MOCANU (EC101)",,,,,,,
,09-10,,,,,,,,
,11-12,,,,,,,,
,12-13,LFA(s) - AN210,,,CN(l) - ED220{2},,,,
,13-14,,,,,,,,
,14-15,,RL(l) - EG207{2},,APD(l) - ED120{2},,,,
,15-16,,,,,,,,
,16-17,,,,,,,,
,17-18,,,,,,,,
,18-19,,,,,,,,
,19-20,,,,,,,,
MARTI,08-09,,,EG(s) - BN217[1],,CN(l) - EG206{1},,,CN(l) - ED220{2}
,09-10,,,,,,,,
,10-11,RL(l) - EG207{1},,,,,CN(l) - ED220{2},,
,11-12,,,,,,,,
,12-13,"ECONOMIE GENERALA (c), Conf. Corina DUMITRESCU (EC102)[1]"#EG(s) - BN217[2],,,,,,
,13-14,,,,,,,,
,14-15,"ELEMENTE DE GRAFICA PE CALCULATOR (c), Conf. Marius ZAHARIA (A04Leu)",,,,,,,
,15-16,,,,,,,,
,16-17,,,,,,,,
,17-18,"CALCULATOARE NUMERICE II (c), Conf. D. POPESCU (EC101)",,,,,,,
,18-19,,,,,,,,
MIERCURI,08-09,EGC(l) - EG304,,,,,,,
,09-10,,,,,,,,
,10-11,APD(l) - ED120{1},,,,,RL(l) - EG207{2},EGC(l) - EG304,
,11-12,,,,,,,,
,12-13,,CN(l) - ED220{2},LFA(s) - EG404,,APD(l) - ED120{1},,EG(s) - BN217[1],
,13-14,,,,,,,,
,14-15,"ALGORITMI PARALELI SI DISTRIBUITI (c), S.L. C. DOBRE (EC004)",,,,,,,
,15-16,,,,,,,,
,16-17,,,,,,,,
,17-18,"RETELE LOCALE (c), Conf. R. RUGHINIS (EC004)",,,,,,,
,,,,,,,,,
JOI,08-09,CN(l) - EG206{1},APD(l) - ED120{2},RL(l) - EG207{1},,EGC(l) - EG304,,CN(l) - ED220{1},
,09-10,,,,,,,,
,10-11,,,EGC(l) - EG304,,RL(l) - EG207{1},APD(l) - ED120{2},LFA(s) - EG103,
,11-12,,,,,,,,
,12-13,,,CN(l) - ED220{1},RL(l) - EG207{2},LFA(s) - EC002,,,
,13-14,,,,,,,,
,14-15,,,APD(l) - ED120{1},,EG(s) - BN217[2],,,
,15-16,,,,,,,,
,16-17,,,,,,,APD(l) - ED120{1},RL(l) - EG207{2}
,17-18,,,,,,,,
,18-19,,,,,,,RL(l) - EG207{1},APD(l) - ED120{2}
,,,,,,,,,
VINERI,08-09,,,,,,,,
,09-10,,,,,,,,
,10-11,,,,,,,,
,11-12,,,,,,,,
,12-13,,,,,,,,
,13-14,,,,,,,,
,14-15,,,,,,,,
,15-16,,,,,,,,
,16-17,,,,,,,,
,17-18,,,,,,,,
,18-19,,,,,,,,
,,,,,,,,,
E
,,,,,,,,,
,Sali laboratoare: BIOINGINERIE - BN 034; PACME - B1 LEU;,,,,,,,,
Nota:,Cursurile facultative de BIOINGINERIE si PACME se desfasoara Vineri 14-16 impreuna cu toti anii III A si C in EC002 si B1Leu,,,,,,,,
,Cursul facultativ de INSTRUIRE ASISTATA DE CALCULATOR se desfasoara cu toti anii III A si C joi 8-10 in A02Leu,,,,,,,,
,EG - ECONOMIE GENERALA (conf. Corina DUMITRESCU),,,,,,,,
,PACME - PROIECTAREA ASISTATA DE CALCULATOR A MODULELOR ELECTRONICE,,,,,,,,
,Seminariile si laboratoarele facultative se stabilesc la cursuri,,,,,,,,
,,,,,,,,,
Intocmit:,,R?zvan Deaconescu (razvan.deaconescu@cs.pub.ro),,,,,,,
Departament:,,Calculatoare,,,,,,,"DECAN,"
Coordonator:,,Conf. C. Popescu (cornel.popescu@cs.pub.ro),,,,,,,Prof. Dr. Ing. Adina Magda FLOREA
