ORAR,,,,,,,,,
,,,,,,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,,,,,,
Specializarea: CALCULATOARE,,,,,,,,,
Anul de studii:  IV  Seria C1,,,,,,,,,
Forma de înv???mânt: INGINERI ZI                    Semestrul I                         Anul universitar 2013 - 2014,,,,,,,,,
,,,,,,,,,
ZIUA,ORA,341 C1,,342 C1,,343 C1,,Op?ional 1 si 2,
,,Disciplina/sal?,,Disciplin?/sal?,,Disciplin?/sal?,,Disciplina/sal?,
LUNI,08-09,,,,,,,,
,09-10,"ARHITECTURI si PRELUCRARI PARALELE (c), Prof. N. TAPUS (EC105)",,,,,,,
,10-11,,,,,,,,
,11-12,,,,,,,,
,12-13,,MP(s) - BN212[2],,MP(s) - BN212[2],,MP(s) - BN212[2],,MP(s) - BN212[2]
,13-14,,,,,,,,
,14-15,,,,,,,,
,15-16,,,,,,,,
,16-17,,,,,APP(l) - ED202{1},PR(l) - ED011{2},,
,17-18,,,,,,,,
,18-19,,,,,PR(l) - ED011{1},APP(l) - ED202{2},,
,,,,,,,,,
MARTI,08-09,,,,,,,,
,09-10,,,,,,,,
,10-11,,,,APP(l) - ED202{2},,,BM(s) - BN212[2],
,11-12,,,,,,,,
,12-13,,BM(s) - BN212[2],,BM(s) - BN212[2],,BM(s) - BN212[2],APP(l) - ED202{1},PR(l) - EG106{2}
,13-14,,,,,,,
,14-15,,,SMP(l) - EG206,,,,PR(l) - EG106{1},APP(l) - ED202{2}
,15-16,,,,,,,,
,16-17,,,,,SMP(l) - EG206,,SMP(l) - EG206,
,17-18,,,,,,,,
,18-19,SMP(l) - EG206,,,PR(l) - EG106{2},,,,
,,,,,,,,,
MIERCURI,08-09,,APP(l) - ED202{2},,,,,,
,09-10,,,,,,,,
,10-11,APP(l) - ED202{1},PR(l) - EG106{2},,,,,,
,11-12,,,,,,,,
,12-13,PR(l) - EG106{1},,APP(l) - ED202{1},,,,,
,13-14,,,,,,,,
,14-15,,,PR(l) - EG106{1},,,,,
,15-16,,,,,,,,
,16-17,,,,,,,,
,17-18,,,,,,,,
,18-19,,,,,,,,
,,,,,,,,,
JOI,08-09,,,,,,,,
,09-10,,,,,,,,
,10-11,,,,,,,,
,11-12,,,,,,,,
,12-13,,,,,,,,
,13-14,,,,,,,,
,14-15,,,,,,,,
,15-16,,,,,,,,
,16-17,,,,,,,,
,17-18,,,,,,,,
,18-19,"PROIECTAREA RETELELOR (c), Conf. R. RUGHINIS (EC105)",,,,,,,
,,,,,,,,,
VINERI,08-09,"MANAGEMENTUL PROIECTELOR (c), prof. Doina Serban (AN034)[1]",,,,,,,
,09-10,,,,,,,,
,10-11,"BAZELE MANAGEMENTULUI (c), prof. Doina Serban (AN034)[2]",,,,,,,
,11-12,,,,,,,,
,12-13,,,,,,,,
,13-14,,,,,,,,
,14-15,"STRUCTURI MULTIPROCESOR (c), Prof. F. IACOB (EC101)",,,,,,,
,15-16,,,,,,,,
,17-18,,,,,,,,
,18-20,,,,,,,,
,,,,,,,,,
E
,,,,,,,,,
Nota:,,Cursul facultativ de  Metodica Predarii Specialitatii (MPSP) se desfasoara ,,,,,,,
,,"miercuri 18-20 in A02 Leu, seminariile se stabilesc la curs",,,,,,,
,,Cursurile de MP/BM se tin de catre prof. Doina Serban,,,,,,,
,,MP - Managementul Proiectelor; BM - Bazele Managementului,,,,,,,
,,,,,,,,,
Intocmit :   ,,Conf. C. Popescu ,,402 9162,,,,,
Catedra:,,Calculatoare,,,,,,,
Coordonator:,,Conf. C. Popescu ,,"DECAN,",,,,,
,,(cornel.popescu@cs.pub.ro),,Prof. Dr. Ing. Adina-Magda FLOREA,,,,,
