ORAR,,,,,,,
,,,,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,,,,
Specializarea: CALCULATOARE,,,,,,,
Anul de studii:  IV  Seria C2,,,,,,,
Forma de înv???mânt: INGINERI ZI  Semestrul I  Anul universitar 2013 - 2014,,,,,,,
,,,,,,,
ZIUA,ORA,341 C2,,342C2,,Op?ional 1 si 2,
,,Disciplina/sal?,,Disciplina/sal?,,Disciplina/sal?,
LUNI,08-09,,,,,,
,09-10,,,,,,
,10-11,,SI(l) - ED218{2},,,,
,11-12,,,,,,
,12-13,,,,,,SI(l) - ED218{2}
,13-14,,,,,,
,14-15,,,SI(l) - ED218,,,
,15-16,,,,,,
,16-17,,,,,SI(l) - ED218{1},
,17-18,,,,,,
,18-19,SI(l) - ED218{1},,,,,
,,,,,,,
MARTI,08-09,MP(s) - BN212[1]#BM(s) - BN212[2],,MP(s) - BN212[1]#BM(s) - BN212[2],,MP(s) - BN212[1]#BM(s) - BN212[2],
,09-10,,,,,,
,10-11,"Sisteme Incorporate (c), S.l. D. TUDOSE (EC002)",,,,,
,11-12,,,,,,
,12-13,,,,,,
,13-14,"Sisteme cu Microprocesoare (c), Conf. C. Popescu (EC002)",,,,,
,14-15,,,,,,
,16-18,,,,,,
,,,,,,,
,18-20,,,,,,
,,,,,,,
MIERCURI,08-09,,,,,,
,09-10,"Prelucrarea Semnalelor (c), S.L. C. CHERA (EC102)",,,,,
,10-11,,,,,,
,11-12
,12-13,,PS(l) - EG206{2},,,,
,13-14,,,,,,
,14-15,,,SM(l) - ED220,,,PS(l) - EG206{2}
,15-16,,,,,,
,16-17,,,PS(l) - EG206,,SM(l) - ED220{1},
,17-18,,,,,,
,18-19,,,,,,
,,,,,,,
JOI,08-09,,,,,,
,09-10,,,,,,
,10-11,,,,,,
,11-12,,,,,,
,12-13,,,,,,
,13-14,,,,,,
,14-15,,,,,,
,15-16,,,,,,
,16-17,,,,,,
,17-18,,,,,,
,18-19,,,,,,SM(l) - ED220{2}
,,,,,,,
VINERI,08-09,PS(l) - EG405{1},SM(l) - EG206{2},"MANAGEMENTUL PROIECTELOR (c), prof. Doina Serban (AN034)[1]",,,
,09-10,,,,,,
,10-11,"BAZELE MANAGEMENTULUI (c),prof. Doina Serban (AN034)[2]",,,PS(l) - EG405{1},
,11-12,,,,,,
,12-13,SM(l) - EG206{1},,,,,
,13-14,,,,,,
,14-15,,,,,,
,,,,,,,
,16-18,,,,,,
,,,,,,,
,18-20,,,,,,
,,,,,,,
E
,,,,,,,
Nota:,Cursul facultativ de  Metodica Predarii Specialitatii (MPSP) se desfasoara ,,,,,,
,"miercuri 18-20 in A02 Leu, seminariile se stabilesc la curs",,,,,,
,Cursurile de MP/BM se tin de catre prof. Doina Serban,,,,,,
,MP - Managementul Proiectelor; BM - Bazele Managementului,,,,,,
,,,,,,,
Intocmit :   ,Conf. C. Popescu ,,402 9162,,,,
Catedra:,Calculatoare,,,,,,
Coordonator:,Conf. C. Popescu ,,,"DECAN,",,,
,(cornel.popescu@cs.pub.ro),,,Prof. Dr. Ing. Adina-Magda FLOREA,,,
