ORAR,,,,,,,
,,,,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,,,,
Specializarea: CALCULATOARE,,,,,,,
Anul de studii:  IV  Seria C3,,,,,,,
Forma de înv???mânt: INGINERI ZI  Semestrul I   Anul universitar 2013 - 2014,,,,,,,
,,,,,,,
ZIUA,ORA,341 C3,,342 C3,,Op?ional 1 si 2,
,,Disciplina/sal?,,Disciplina/sal?,,Disciplina/sal?,
LUNI,08-09,CPL(l) - EG106{1},,,,BD(l) - EG103{1},
,09-10,,,,,,
,10-11,BD(l) - EG103{1},,MP(s) - BN212[1],,,
,11-12,,,,,,
,12-13,"Baze de Date II (c), Prof. M. PETRESCU (EG305)",,,,,
,13-14,,,,,,
,14-15,,,,,,
,15-16,,,,,,
,16-17,,,,,,
,,,,,,,
,18-20,,,,,,
,,,,,,,
MARTI,08-09,,SPRC(l) - EG205{2},BM(s) - BN212[2]{1},,,BD(l) - EG103{2}
,09-10,,,,,,
,10-11,SPRC(l) - EG205{1},BD(l) - EG103{2},CPL(l) - EG106{1},BM(s) - BN212[2]{2},,
,11-12,,,,,,
,12-13,MP(s) - BN212[1]#BM(s) - BN212,,,SPRC(l) - EG205{2},,
,13-14,,,,,,
,14-15,,,SPRC(l) - EG205{1},,,
,15-16,,,,,,
,16-17,,,,,,
,,,,,,,
,18-20,,,,,,
,,,,,,,
MIERCURI,08-09,,CPL(l) - EG106{2},,,,
,09-10,,,,,,
,10-11,,,,,,
,11-12,"Inteligenta Artificiala (c), Prof. Adina FLOREA (EC101)",,,,,
,12-13,,,,,,
,13-14,,,,,,
,14-15,,,IA(l) - EG404{1},BD(l) - EG103{2},,
,15-16,,,,,,
,16-17,,,BD(l) - EG103{1},IA(l) - EG404{2},,
,,,,,,,
,18-20,,,,,,
,,,,,,,
JOI,08-11,"COMPILATOARE (c), Drd.ing.B. NITULESCU (EC101)",,,,,
,,,,,,,
,,,,,,,
,11-14,"SISTEME DE PROGRAMARE A RETELELOR DE CALCULATOARE (c), Prof. V. CRISTEA (EC101)",,,,,
,,,,,,,
,,,,,,,
,14-16,,,,,,
,,,,,,,
,16-18,,,,,,
,,,,,,,
,18-20,,,,,,
,,,,,,,
VINERI,08-10,"MANAGEMENTUL PROIECTELOR (c), prof. Doina Serban (AN034)[1]",,,CPL(l) - EG106,,
,,,,,,,
,10-12,"BAZELE MANAGEMENTULUI (c), prof. Doina Serban(AN034)[2]",,,,,,,,,,,,
,12-14,,IA(l) - EG404{2},,,,
,,,,,,,
,14-16,IA(l)- EG404{1},,,,,
,,,,,,,
,16-18,,,,,,
,,,,,,,
,18-20,,,,,,
,,,,,,,
E
,,,,,,,
Nota:,,Cursul facultativ de  Metodica Predarii Specialitatii (MPSP) se desfasoara ,,,,,
,,"miercuri 18-20 in A02 Leu, seminariile se stabilesc la curs",,,,,
,,Cursurile de MP/BM se tin de catre prof. Doina Serban,,,,,
,,MP - Managementul Proiectelor; BM - Bazele Managementului,,,,,
,,,,,,,
Intocmit :   ,,Conf. C. Popescu ,,402 9162,,,
Catedra:,,Calculatoare,,,,,
Coordonator:,,Conf. C. Popescu ,,,"DECAN,",,
,,(cornel.popescu@cs.pub.ro),,,Prof. Dr. Ing. Adina-Magda FLOREA,,
