ORAR,,,,,,,
,,,,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,,,,
Specializarea: CALCULATOARE,,,,,,,
Anul de studii:  IV  Seria C4,,,,,,,
Forma de înv???mânt: INGINERI ZI  Semestrul I   Anul universitar 2013 - 2014,,,,,,,
,,,,,,,
ZIUA,ORA,341 C4,,342 C4,,Op?ional 1,Op?ional 2
,,Disciplina/sal?,,Disciplina/sal?,,Disciplina/sal?,
LUNI,08-10,MP(s) - BN212[1],,,,,
,,,,,,,
,10-12,,IA(l)- EG404{2},AII(l) - EG205{1},,IOC(l) - EG405{1},
,,,,,,,
,12-14,IA(l) - EG404{1},IOC(l) - EG405{2},,,IA(l) - EG404{1},
,,,,,,,
,14-16,IOC(l) - EG405{1},AII(l) - EG205{2},,,,
,,,,,,,
,16-18,AII(l) - EG205{2},,,,,
,,,,,,,
,18-20,,,,AII(l) - EG205{2},,
,,,,,,,
MARTI,08-10,,,SPG(l) - EG304{1},,,
,,,,,,,
,10-12,,SPG(l) - EG304{2},BM(s) - BN212[2],,,
,,,,,,,
,12-14,SPG(l) - EG304{1},,,,,
,,,,,,,
,14-17,"Inteligenta Artificiala (c), Prof. Adina FLOREA (EC004) ",,,,,
,,,,,,,
,17-20,"Aplicatii Integrate pentru Intreprinderi (c), S.L. M. IONESCU (A04Leu)",,,,,
,,,,,,,
MIERCURI,08-10,,,,,,
,,,,,,,
,10-12,,,,,,
,,,,,,,
,12-14,,,,,,
,,,,,,,
,14-17,"Sisteme de Prelucrare Grafica (c), Prof. Florica MOLDOVEANU (EC101) ",,,,,
,,,,,,,
,17-20,"Interfata Om Calculator (c),Prof. St. TRAUSAN-MATU (EC101)",,,,,
,,,,,,,
JOI,08-10,,,,,,IOC(l) - EG405{2}
,,,,,,,
,10-12,,,IOC(l) - EG405{1},,,
,,,,,,,
,12-14,,,IA(l) - EG404{1},IOC(l) - EG405{2},,
,,,,,,,
,14-16,,,,,,
,,,,,,,
,16-18,,,,IA(l) - EG404{2},SPG(l) - EG304{1},
,,,,,,,
,18-20,,,,SPG(l) - EG304{2},,
,,,,,,,
VINERI,08-10,"MANAGEMENTUL PROIECTELOR (c), prof. Doina Serban (AN034)[1]",,,,,
,,,,,,,
,10-12,"BAZELE MANAGEMENTULUI (c), prof. Doina Serban (AN034)[2]",,,,,
,,,,,,,
,12-14,,,,,,
,,,,,,,
,14-16,,,,,,
,,,,,,,
,16-18,,,,,,
,,,,,,,
,18-20,,,,,,
,,,,,,,
E
,,,,,,,
Nota:,Cursul facultativ de  Metodica Predarii Specialitatii (MPSP) se desfasoara ,,,,,,
,"miercuri 18-20 in A02 Leu, seminariile se stabilesc la curs",,,,,,
,Cursurile de MP/BM se tin de catre prof. Doina Serban,,,,,,
,MP - Managementul Proiectelor; BM - Bazele Managementului,,,,,,
,,,,,,,
Intocmit :   ,,Conf. C. Popescu ,,402 9162,,,
Catedra:,,Calculatoare,,,,,
Coordonator:,,Conf. C. Popescu ,,"DECAN,",,,
,,(cornel.popescu@cs.pub.ro),,Prof. Dr. Ing. Adina-Magda FLOREA,,,
