ORAR,,,,,,,,,
,,,,,,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,,,,,,
Specializarea: CALCULATOARE,,,,,,,,,
Anul de studii:  IV  Seria C5,,,,,,,,,
Forma de înv???mânt: INGINERI ZI                   Semestrul I                  Anul universitar 2013 - 2014,,,,,,,,,
,,,,,,,,,
ZIUA,ORA,341 C5,,342 C5,,Op?ional 1 si 2,,Op?ional 3 si 4,
,,Disciplina/sal?,,Disciplina/sal?,,Disciplina/sal?,,Disciplina/sal?,
LUNI,8-11,,,,,,,,
,9-12,"INTEGRAREA SISTEMELOR INFORMATICE (c), Prof. Mariana MOCANU (EC102)",,,,,,,
,,,,,,,,,
,,,,,,,,,
,12-14,,UBD(l) - EG103{2},MP(s) - BN212[1]#BM(s) - BN212[2],,,,,
,,,,,,,,,
,14-16,ISI(l) - EG311{1},,,UBD(l) - EG103{2},,,,
,,,,,,,,,
,16-18,,ISI(l) - EG311{2},,MPS(l) - EG405{2},UBD(l) - EG103{1},,,
,,,,,,,,,
,18-20,,,,ISI(l) - EG311{2},MPS(l) - EG405{1},UBD(l) - EG103{2},,
,,,,,,,,,
MARTI,8-10,,,,,,,,
,,,,,,,,,
,10-12,,,,,,,EP(l) - R408{1},
,,,,,,,,,
,12-14,MP(s) - BN212[1]#BM(s) - BN212[2],,,,,EP(l) - R408{2},,
,,,,,,,,,
,14-16,EP(l) - R408{1},,,,,,,
,,,,,,,,,
,16-18,,EP(l) - R408{2},,,,,,
,,,,,,,,,
,18-20,,MPS(l) - EG405{2},,,,,,EP(l) - R408{2}
,,,,,,,,,
MIERCURI,08-10,,,,,,,,
,,,,,,,,,
,10-12,,,,,,,,
,,,,,,,,,
,12-14,,,UBD(l) - EG103{1},,,,,
,,,,,,,,,
,14-16,,,,,,,,
,15-18,"Managementul Proiectelor Software (c), Conf. C. BOIANGIU (EC002)",,,,,,,
,,,,,,,,,
,,,,,,,,,
,18-20,MPS(l) - EG405{1},,ISI(l) - EG311{1},,,,,
,,,,,,,,,
JOI,08-10,,,,,,,,
,,,,,,,,,
,10-12,,,,,EP(l) - R408{1},,,
,,,,,,,,,
,12-14,,,EP(l) - R408{1},,,,,
,,,,,,,,,
,14-16,,,,EP(l) - R408{2},,,,
,15-16,,,,,,,,
,16-17,,,,,,,,
,17-18,"Utilizarea Bazelor de Date (c), Prof. Fl. RADULESCU (EC101)",,,,,,,
,18-19,,,,,,,,
,19-20,,,,,,,,
VINERI,08-10,"MANAGEMENTUL PROIECTELOR (c), prof. Doina Serban (AN034)[1]",,,,,,,
,,,,,,,,,
,10-12,"BAZELE MANAGEMENTULUI (c), prof. Doina Serban (AN034)[2]",,,,,,,
,,,,,,,,,
,12-14,UBD(l) - EG103{1},,MPS(l) - EG405{1},,,,,
,,,,,,,,,
,14-17,"Evaluarea Performantelor (c), Prof. D. IRIMESCU (EC004)",,,,,,,
,,,,,,,,,
,,,,,,,,,
,17-18,,,,,,,,
,18-20,,,,,,,,
,,,,,,,,,
E
,,,,,,,,,
Nota:,,Cursul facultativ de  Metodica Predarii specialitatii se desfasoara ,,,,,,,
,,"miercuri 18-20 in A04 Leu, seminariile se stabilesc la curs",,,,,,,
,,Cursurile de MP/BM se tin de catre prof. Doina Serban,,,,,,,
,,MP - Managementul Proiectelor; BM - Bazele Managementului,,,,,,,
,,,,,,,,,
Intocmit :   ,,Conf. C. Popescu ,,402 9162,,,,,
Catedra:,,Calculatoare,,,,,,,
Coordonator:,,Conf. C. Popescu ,,,,"DECAN,",,,
,,(cornel.popescu@cs.pub.ro),,,Prof. Dr. Ing. Adina-Magda FLOREA,,,,
