,,,,
ORAR,,,,
Master An 5: Arhitecturi Avansate de Calculatoare (AAC),,,,
,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,
Specializarea: CALCULATOARE,,,,
Anul de studii:  5,,,,
"Forma de înv???mânt: Master Cercetare, Semestrul I, Anul universitar 2013 - 2014",,,,
,,,,
ZIUA,ORA,Subgrupa 1,Subgrupa 2,Optionali
,,Disciplina si sala,,Disciplina si sala
LUNI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
MAR?I,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
MIERCURI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,SA-VLSI(l) - EF001,
,17-18,,,
,18-19,"Structuri avansate VLSI (c), Prof. A. PETRESCU (EF001)",,
,19-20,,,
,20-21,SA-VLSI(l) - EF001,,SA-VLSI(l) - EF001
,21-22,,,
JOI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,"Circuite inteligente bazate pe logica fuzzy (c), Conf. D. POPESCU (EF001)",,
,17-18,,,
,18-19,CIBLF(l) - EF001,,CIBLF(l) - EF001
,19-20,,,
VINERI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
E
,,,,
Mentiuni:,,Cursurile optionale se aleg conform planului de invatamant.,,
,,,,
Întocmit:   ,,Conf. Dr. Ing. Florin POP,florin.pop@cs.pub.ro,
,,Ing. Catalin Negru,catalin.negru@cs.pub.ro,
,,,,
Catedra:    ,,Calculatoare,,"DECAN,"
Coordonator: ,,Conf. Dr. Ing Cornel POPESCU (cpop@cs.pub.ro),,Prof. Dr. Ing. Adina-Magda Florea
