,,,,
ORAR,,,,
Master An 5: Administrarea Bazelor de Date (ABD),,,,
,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,
Specializarea: CALCULATOARE,,,,
Anul de studii:  5,,,,
"Forma de înv???mânt: Master Aprofundare, Semestrul I, Anul universitar 2013 - 2014",,,,
,,,,
ZIUA,ORA,Subgrupa 1,Subgrupa 2,Optionali
,,Disciplina si sala,,Disciplina si sala
LUNI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
MAR?I,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
MIERCURI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,SSI(p) - ED320,,
,13-14,,,
,14-15,"Architectura orientata pe servicii a sistemelor informatice (c), Conf. F. POP (EC102)",,
,15-16,,,
,16-17,AOSSI(p) - EG403,,
,17-18,,,
,18-19,"Securitatea sistemelor informatice (c), Prof. A. CURAJ (AN034)",,
,19-20,,,
,20-21,,,
,21-22,,,
JOI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
VINERI,08-09,"Implementarea sistemelor de baze de date (c), Conf. A. BOICEA (EG305)",,
,09-10,,,
,10-11,ISBD(l) - EG103[1],ISBD(l) - EG103[2],ISBD(l) - EG103[1]
,11-12,,,
,12-13,"Sisteme avansate pentru baze de date (c), Prof. M. PETRESCU (EC102)",,
,13-14,,,
,14-15,SABD(l) - EG103[1],SABD(l) - EG103[2],SABD(l) - EG103[1]
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
E
,,,,
,,,,
Întocmit:   ,,Conf. Dr. Ing. Florin POP,florin.pop@cs.pub.ro,
,,Ing. Catalin Negru,catalin.negru@cs.pub.ro,
,,,,
Catedra:    ,,Calculatoare,,"DECAN,"
Coordonator: ,,Conf. Dr. Ing Cornel POPESCU (cpop@cs.pub.ro),,Prof. Dr. Ing. Adina Magda FLOREA
