,,,,,
ORAR,,,,,
Master An 5: Cursuri optionale (G1),,,,,
,,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,,
Specializarea: CALCULATOARE,,,,,
Anul de studii:  5,,,,,
"Forma de înv???mânt: Master, Semestrul I, Anul universitar 2013 - 2014",,,,,
,,,,,
ZIUA,ORA,Optional 1,Optional 2,Optional 3,Optional 4
,,Disciplina si sala,Disciplina si sala,Disciplina si sala,Disciplina si sala
LUNI,08-09,,,,
,09-10,,,,
,10-11,,,,
,11-12,,,,
,12-13,,,,
,13-14,,,,
,14-15,,,,
,15-16,,,,
,16-17,,,,
,17-18,,,,
,18-19,,,,
,19-20,,,,
MAR?I,08-09,"Categorii si Computer Science (c), Lector Adriana BALAN (AN210)",,,
,09-10,,,,
,10-11,CCS(s) - R417,,,
,11-12,,,,
,12-13,,,CCS(s) - R417,
,13-14,,,,
,14-15,,,,
,15-16,,,,
,16-17,,,,
,17-18,,,,
,18-19,,,,
,19-20,,,,
MIERCURI,08-09,,,,
,09-10,,,,
,10-11,,,,
,11-12,,,,
,12-13,,,,
,13-14,,,,
,14-15,,,,
,15-16,,,,
,16-17,GC(l) - EG405,,,
,17-18,,,,
,18-19,"Geometrie Computationala (c), Conf. C. BOIANGIU (EC002)",,,
,19-20,,,,
JOI,08-09,,,,
,09-10,,,,
,10-11,,,,
,11-12,,,,
,12-13,,,,
,13-14,,,,
,14-15,,,,
,15-16,,,,
,16-17,,,,
,17-18,,,,
,18-19,,,,
,19-20,,,,
VINERI,08-09,,,,
,09-10,,,,
,10-11,,,,
,11-12,,,,
,12-13,,,,
,13-14,,,,
,14-15,,,,
,15-16,,,,
,16-17,TCST(l) - ED202,TCST(l) - ED202,CV(p) - EG404,
,17-18,,,,
,18-19,"Tehnici de Comunicare si Scriere Tehnica (c),Conf. E. SLUSANSCHI (EC105)",,"Computer Vision (c), Dr. ing. Marius Leordeanu (EC004)",
,19-20,,,,
E
,,,,,
Mentiuni:,,Cursurile optionale se aleg conform planului de invatamant.,,,
,,,,,
Întocmit:   ,,Conf. Dr. Ing. Florin POP,florin.pop@cs.pub.ro,,
,,Ing. Catalin Negru,catalin.negru@cs.pub.ro,,
,,,,,
Catedra:    ,,Calculatoare,,"DECAN,",
Coordonator: ,,Conf. Dr. Ing Cornel POPESCU (cpop@cs.pub.ro),,Prof. Dr. Ing. Adina-Magda Florea,
