,,,,
ORAR,,,,
"Master An 5: Grafica, Multimedia si Realitate Virtuala (GMRV)",,,,
,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,
Specializarea: CALCULATOARE,,,,
Anul de studii:  5,,,,
"Forma de înv???mânt: Master Interdisciplinar, Semestrul I, Anul universitar 2013 - 2014",,,,
,,,,
ZIUA,ORA,Subgrupa 1,Subgrupa 2,Optionali
,,Disciplina si sala,,Disciplina si sala
LUNI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
MAR?I,08-09,SAAPI(l) - EG405,,
,09-10,,,
,10-11,"Sisteme avansate de analiza si prelucrare a imaginilor (c), Prof. F. IACOB (EC102)",,
,11-12,,,
,12-13,,,SAAPI(l) - EG405
,13-14,,,
,14-15,"Tehnici de programare pentru prelucrari grafice de inalta performanta (c), s.l. Irina MOCANU (EG404)",,
,15-16,,,
,16-17,TPPGIP(l) - -EG304,,TPPGIP(l) - EG304
,17-18,,,
,18-19,,,
,19-20,,,
MIERCURI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
JOI,08-09,TM3D(l) - EG204,,
,09-10,,,
,10-11,"Tehnici de modelare 3D (c), Conf. A. MOLDOVEANU (EG204)",,
,11-12,,,
,12-13,,,TM3D(l) - EG204
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,IRV(l) - EG204,,
,17-18,,,
,18-19,"Introducere in Realitatea Virtuala (c), Conf. A. MOLDOVEANU (EG204)",,
,19-20,,,
,20-21,,,IRV(l) - EG204
,21-22,,,
VINERI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
E
,,,,
Mentiuni:,,Cursurile optionale se aleg conform planului de invatamant.,,
,,,,
Întocmit:   ,,Conf. Dr. Ing. Florin POP,florin.pop@cs.pub.ro,
,,Ing. Catalin Negru,catalin.negru@cs.pub.ro,
,,,,
Catedra:    ,,Calculatoare,,"DECAN,"
Coordonator: ,,Conf. Dr. Ing Cornel POPESCU (cpop@cs.pub.ro),,Prof. Dr. Ing. Adina-Magda Florea
