,,,,
ORAR,,,,
Master An 5: Management in Tehnologia Informatiei (MTI),,,,
,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,
Specializarea: CALCULATOARE,,,,
Anul de studii:  5,,,,
"Forma de înv???mânt: Master Complementar, Semestrul I, Anul universitar 2013 - 2014",,,,
,,,,
ZIUA,ORA,Subgrupa 1,Subgrupa 2,Optionali
,,Disciplina si sala,,Disciplina si sala
LUNI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
MAR?I,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,"Managementul si Securitatea Informatiilor (c), Prof. Gh. MURESEANU (EC102)",,
,19-20,,,
,20-21,MSI(l) - EC102,,MSI(l) - EC102
,21-22,,,
MIERCURI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,"Management de resurse umane (c), S.L. Elena FLEACA (AN030)",,
,18-19,,,
,19-20,MRU(l) - AN030,,MRU(l) - AN030
,20-21,,,
JOI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
,20-21,,,
,21-22,,,
VINERI,08-09,"Management financiar (c), Conf. Gh. MILITARU (EC002)",,
,09-10,,,
,10-11,MFN(l) - BN230,,MFN(l) - BN230
,11-12,,,
,12-13,,MFN(l) - BN230,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
E
,,,,
Mentiuni:,,Cursurile optionale se aleg conform planului de invatamant.,,
,,,,
Întocmit:   ,,Conf. Dr. Ing. Florin POP,florin.pop@cs.pub.ro,
,,Ing. Catalin Negru,catalin.negru@cs.pub.ro,
,,,,
Catedra:    ,,Calculatoare,,"DECAN,"
Coordonator: ,,Conf. Dr. Ing Cornel POPESCU (cpop@cs.pub.ro),,Prof. Dr. Ing. Adina-Magda Florea
