,,,,
ORAR,,,,
Master An 5: Securitatea Retelelor Informatice Complexe (SRIC),,,,
,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,
Specializarea: CALCULATOARE,,,,
Anul de studii:  5,,,,
"Forma de înv???mânt: Master Aprofundare, Semestrul I, Anul universitar 2013 - 2014",,,,
,,,,
ZIUA,ORA,Subgrupa 1,Subgrupa 2,Optionali
,,Disciplina si sala,,Disciplina si sala
LUNI,08-09,"Infrastructura si Servicii pentru Retele Mobile (c), Conf. D. NICULESCU (EC002)",,
,09-10,,,
,10-11,ISRM(l) - EG106,,ISRM(l) - EG106
,11-12,,,
,12-13,,ISRM(l) - EG106,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
MAR?I,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,SCR(l) - EG106,,SCR(l) - EG106
,17-18,,,
,18-19,"Securitatea calculatoarelor si a retelelor (c), S.L. Laura GHEORGHE (EC002)",,
,19-20,,,
,20-21,,SCR(l) - EG106,
,21-22,,,
MIERCURI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
JOI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,GSR(l) - EG106,
,17-18,,,
,18-19,"Gestiunea serviciilor de retea (c), S.l. R. DEACONESCU (EC102)",,
,19-20,,,
,20-21,GSR(l) - EG106,,GSR(l) - EG106
,21-22,,,
VINERI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
E
,,,,
Mentiuni:,,Cursurile optionale se aleg conform planului de invatamant.,,
,,,,
Întocmit:   ,,Conf. Dr. Ing. Florin POP,florin.pop@cs.pub.ro,
,,Ing. Catalin Negru,catalin.negru@cs.pub.ro,
,,,,
Catedra:    ,,Calculatoare,,"DECAN,"
Coordonator: ,,Conf. Dr. Ing Cornel POPESCU (cpop@cs.pub.ro),,Prof. Dr. Ing. Adina-Magda Florea
