,,,,
ORAR,,,,
Master An 5: Sisteme Software Avansate (SSA),,,,
,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,
Specializarea: CALCULATOARE,,,,
Anul de studii:  5,,,,
"Forma de înv???mânt: Master Cercetare, Semestrul I, Anul universitar 2013 - 2014",,,,
,,,,
ZIUA,ORA,Subgrupa 1,Subgrupa 2,Optionali
,,Disciplina si sala,,Disciplina si sala
LUNI,08-09,CC(l) - EG205,,
,09-10,,,
,10-11,"Cloud Computing (c), Conf. C. DOBRE (EC002)",,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
MAR?I,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,DAI(l) - ED120[1],DAI(l) - ED120[2],DAI(l) - ED120[1]
,15-16,,,
,16-17,"Dezvoltarea aplicatiilor pentru Internet Java EE si .NET (c), Dr.ing. G. GODZA (EC102)",,
,17-18,,,
,18-19,,,
,19-20,,,
MIERCURI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,AOSSI(l) - EG403[1],AOSSI(l) - EG403[2],AOSSI(l) - EG403[1]
,13-14,,,
,14-15,"Architectura orientata pe servicii a sistemelor informatice (c), Conf. F. POP (EC102)",,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
,20-22,,,
,20-22,,,
JOI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
VINERI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
E
,,,,
Mentiuni:,,Cursurile optionale se aleg conform planului de invatamant.,,
,,,,
Întocmit:   ,,Conf. Dr. Ing. Florin POP,florin.pop@cs.pub.ro,
,,Ing. Catalin Negru,catalin.negru@cs.pub.ro,
,,,,
Catedra:    ,,Calculatoare,,"DECAN,"
Coordonator: ,,Conf. Dr. Ing Cornel POPESCU (cpop@cs.pub.ro),,Prof. Dr. Ing. Adina-Magda Florea
