,,,,
ORAR,,,,
Master An 6: Administrarea Bazelor de Date (ABD),,,,
,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,
Specializarea: CALCULATOARE,,,,
Anul de studii:  6,,,,
"Forma de înv???mânt: Master Aprofundare, Semestrul I, Anul universitar  2013 - 2014",,,,
,,,,
ZIUA,ORA,Subgrupa 1,   Subgrupa 2,Optionali
,,Disciplina si sala,,Disciplina si sala
LUNI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
,20-21,"Antreprenoriat, protectia proprietatii intelectuale si diseminare in cercetare (c),Conf. C. CORICI (EC101)",,
,21-22,,,
MAR?I,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,"Knowledge Engineering and Services Ecosystem (c), prof. Liliana Dobrica (ED321)",,
,15-16,,,
,16-17,KESE(l) - ED321,,
,17-18,,,
,18-19,,,
,19-20,,,
MIERCURI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,MPSIT(l) - EG305,
,15-16,,,
,16-17,"Managementul Proiectelor si serviciilor IT (c), Conf. Adriana BARNOSCHI (EG305)",,
,17-18,,,
,18-19,MPSIT(l) - EG305,APPI(s) - ED112[1],MPSIT(l) - EG305
,19-20,,,
,20-21,APPI(s) - ED112[1],,APPI(s) - ED112[1]
,21-22,,,
JOI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,"Proiectarea aplicatiilor J2EE (c), S.L. M. ANDREICA (EG305)",,
,17-18,,,
,18-19,PAJ2EE(l) - EG305,PAJ2EE(l) - EG305,PAJ2EE(l) - EG305
,19-20,,,
VINERI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
E
,,,,
,,,,
Întocmit:   ,,Conf. Dr. Ing. Florin POP,florin.pop@cs.pub.ro,
,,Ing. Catalin Negru,catalin.negru@cs.pub.ro,
,,,,
Catedra:    ,,Calculatoare,,"DECAN,"
Coordonator: ,,Conf. Dr. Ing Cornel POPESCU (cpop@cs.pub.ro),,Prof. Dr. Ing. Adina-Magda Florea
