,,,,
ORAR,,,,
"Master An 6: Grafica , Multimedia si Realitate Virtuala (GMRV)",,,,
,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,
Specializarea: CALCULATOARE,,,,
Anul de studii:  6,,,,
"Forma de înv???mânt: Master Interdisciplinar, Semestrul I, Anul universitar  2013 - 2014",,,,
,,,,
ZIUA,ORA,Subgrupa 1,   Subgrupa 2,Optionali
,,Disciplina si sala,,Disciplina si sala
LUNI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
MAR?I,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,MG3DTR(p) - EG204,,
,17-18,,,
,18-19,"Dezvoltarea Sistemelor de Realitate Virtuala(c), Conf. A. MOLDOVEANU (EG204)",,
,19-20,,,
,20-21,DSRV(p) - EG204,,
,21-22,,,
MIERCURI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
JOI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,"Analiza si Extragerea Automata a Continutului Documentelor (c), Conf. C. BOIANGIU (EC102)",,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
VINERI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,AEACD(l) - EG405,,
,15-16,,,
,16-17,"Motoare de grafica 3D in timp real (c), S.l. Victor ASAVEI (EG204)",,
,17-18,,,
,18-19,"Dezvoltarea aplicatiilor grafice pentru dispozitive mobile (c), S.l. Victor ASAVEI (EG204)",,
,19-20,,,
,20-21,DAGDM(l) - EG204,,
,21-22,,,
E
,,,,
Mentiuni:,,Cursurile optionale se aleg conform planului de invatamant.,,
,,,,
Întocmit:   ,,Conf. Dr. Ing. Florin POP,florin.pop@cs.pub.ro,
,,Ing. Catalin Negru,catalin.negru@cs.pub.ro,
,,,,
Catedra:    ,,Calculatoare,,"DECAN,"
Coordonator: ,,Conf. Dr. Ing Cornel POPESCU (cpop@cs.pub.ro),,Prof. Dr. Ing. Adina-Magda Florea
