,,,,
ORAR,,,,
Master An 6: Inteligenta Artificiala - in engleza (IA-en),,,,
,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,
Specializarea: CALCULATOARE,,,,
Anul de studii:  6,,,,
"Forma de înv???mânt: Master Cercetare, Semestrul I, Anul universitar  2013 - 2014",,,,
,,,,
ZIUA,ORA,Subgrupa 1,   Subgrupa 2,Optionali
,,Disciplina si sala,,Disciplina si sala
LUNI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,"Software Verification and Validation (c), Conf. Lorina NEGREANU (EC102)",,
,15-16,,,
,16-17,SVV(l) - EG404,,
,17-18,,,
,18-19,,,
,19-20,,,
MAR?I,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,"Self-organizing Systems (c), S.L. A. MOGOS (EG404)",,
,17-18,,,
,18-19,SOS(p) - EG404,,
,19-20,,,
MIERCURI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,"Neural Networks (c), Prof NNT (EB215)",,
,17-18,,,
,18-19,NNT(p) - EB215[1],NNT(p) - EB215[1]#NNT(l) - EB215[2],NNT(p) - EB215[1]#NNT(l) - EB215[2]
,19-20,,,
,20-21,NNT(l) - EB215[2],,
,21-22,,,
JOI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
VINERI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
E
,,,,
Mentiuni:,,Cursurile optionale se aleg conform planului de invatamant.,,
,,,,
Întocmit:   ,,Conf. Dr. Ing. Florin POP,florin.pop@cs.pub.ro,
,,Ing. Catalin Negru,catalin.negru@cs.pub.ro,
,,,,
Catedra:    ,,Calculatoare,,"DECAN,"
Coordonator: ,,Conf. Dr. Ing Cornel POPESCU (cpop@cs.pub.ro),,Prof. Dr. Ing. Adina-Magda Florea
