ORAR,,,,
,,,,
Master An 6: Sisteme de Calcul Paralele si Distribuite - in engleza (SCPD-en),,,,
,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,
Specializarea: CALCULATOARE,,,,
Anul de studii:  6,,,,
"Forma de înv???mânt: Master Cercetare, Semestrul I, Anul universitar  2013 - 2014",,,,
,,,,
ZIUA,ORA,Subgrupa 1,   Subgrupa 2,Optionali
,,Disciplina si sala,,Disciplina si sala
LUNI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
MAR?I,08-09,"Metode Avansate in Sisteme Distribuite (c), SL. C. RAICIU (EC102)",,
,09-10,,,
,10-11,MASD(l) - EG405,,MASD(l) - EG405
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
,20-21,,,
,21-22,,,
MIERCURI,08-09,,,
,09-10,,,
,10-11,SSI(l) - EG205,,SSI(l) - EG205
,11-12,,,
,12-13,"Sisteme de incredere (c), S.L. C. DOBRE (EC102)",,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
JOI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
VINERI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,"Metode Avansate in Securitatea Calculatoarelor si Retelelor (c), dr. mat. Emil SIMION (EC002)",,
,17-18,,,
,18-19,MASCR(l) - EG106,,MASCR(l) - EG106
,19-20,,,
,20-21,,MASCR(l) - EG106,
,21-22,,,
E
,,,,
Mentiuni:,,Cursurile optionale se aleg conform planului de invatamant.,,
,,,,
Întocmit:   ,,Conf. Dr. Ing. Florin POP,florin.pop@cs.pub.ro,
,,Ing. Catalin Negru,catalin.negru@cs.pub.ro,
,,,,
Catedra:    ,,Calculatoare,,"DECAN,"
Coordonator: ,,Conf. Dr. Ing Cornel POPESCU (cpop@cs.pub.ro),,Prof. Dr. Ing. Adina-Magda Florea
