,,,,
ORAR,,,,
Master An 6: Sisteme Software Avansate (SSA),,,,
,,,,
Facultatea: AUTOMATICA SI CALCULATOARE,,,,
Specializarea: CALCULATOARE,,,,
Anul de studii:  6,,,,
"Forma de înv???mânt: Master Cercetare, Semestrul I, Anul universitar  2013 - 2014",,,,
,,,,
ZIUA,ORA,Subgrupa 1,   Subgrupa 2,Optionali
,,Disciplina si sala,,Disciplina si sala
LUNI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
MAR?I,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,SCI(p) - ED120,,
,17-18,,,
,18-19,,,
,19-20,,,
MIERCURI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,"Managementul Proiectelor si serviciilor IT (c), S.l. Al. RADOVICI  (EG205)",,
,17-18,,,
,18-19,MPSIT(l) - EG205,MPSIT(l) - EG205,MPSIT(l) - EG205
,19-20,,,
JOI,08-09,,,
,09-10,,,
,10-11,,,
,11-12,,,
,12-13,,,
,13-14,"Business Service Integration and Management (c), prof.dr.ing. Anca Ionita (ED321)[1]",,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,"Politici in sisteme distribuite (c), S.L. M. IONESCU (EC002)",,
,19-20,,,
,20-21,,,PSD(l) - EG205[2]
,21-22,,,
VINERI,08-09,,,
,09-10,,,
,10-11,"Securitatea informatica (c), S.l. C. LEORDEANU (EC102)",,
,11-12,,,
,12-13,,,
,13-14,,,
,14-15,,,
,15-16,,,
,16-17,,,
,17-18,,,
,18-19,,,
,19-20,,,
E
,,,,
Mentiuni:,,Cursurile optionale se aleg conform planului de invatamant.,,
,,,,
Întocmit:   ,,Conf. Dr. Ing. Florin POP,florin.pop@cs.pub.ro,
,,Ing. Catalin Negru,catalin.negru@cs.pub.ro,
,,,,
Catedra:    ,,Calculatoare,,"DECAN,"
Coordonator: ,,Conf. Dr. Ing Cornel POPESCU (cpop@cs.pub.ro),,Prof. Dr. Ing. Adina-Magda Florea
