	 ###ORAR 2CA ####
	 Semestrul I    Anul universitar 2014 – 2015
Facultatea: AUTOMATICA SI CALCULATOARE
Specializarea: CALCULATOARE
ZIUA,ORA,321CA,,322CA,,323CA,,324CA,,325CA,
,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,
LUNI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,,,,,AA(1) - EG209{1},,,,Engleza(2) - BN319[1],,
,13-14,,,,,AA(1) - EG209{1},,,,Engleza(2) - BN319[1],,
,14-15,,POO(1) - EG103b{2},AA(1) - EG209{1},,,,,,EEA(2) - ED314[1],,
,15-16,,POO(1) - EG103b{2},AA(1) - EG209{1},,FC(2) - AN205[2],,Engleza(2) - BN319[2],,EEA(2) - ED314[1],,
,16-17,,,,,FC(2) - AN205[2],,Engleza(2) - BN319[2],,,,
,17-18,"ELEMENTE DE ELECTRONICA ANALOGICA (c), Dr.ing. C. TRISCA (EC004)"
,18-19,"ELEMENTE DE ELECTRONICA ANALOGICA (c), Dr.ing. C. TRISCA (EC004)"
,19-20,"ELEMENTE DE ELECTRONICA ANALOGICA (c), Dr.ing. C. TRISCA (EC004)"
,20-21,
,21-22,
MARTI,08-09,,AA(1) - EG209{2},TS(1) - ED112[1]#TS(2) - ED112[2],,EEA(2) - ED314[1]#Engleza(2) - AN217[2],,EEA(2) - ED314[2],,,,
,09-10,,AA(1) - EG209{2},TS(1) - ED112[1]#TS(2) - ED112[2],,EEA(2) - ED314[1]#Engleza(2) - AN217[2],,EEA(2) - ED314[2],,,,
,10-11,Engleza(2) - AN217[1]#EEA(2) - ED314[2],,EEA(2) - ED314[1]#Engleza(2) - AN217[2],,EEA(1) - ED313[2]{1},AA(1) - EG209{2},TS(2) - ED112[2],,,,
,11-12,Engleza(2) - AN217[1]#EEA(2) - ED314[2],,EEA(2) - ED314[1]#Engleza(2) - AN217[2],,EEA(1) - ED313[2]{1},AA(1) - EG209{2},TS(2) - ED112[2],,,,
,12-13,IOCLA(1) - EG103{1},IOCLA(1) - EG410{2},,,TS(1) - ED112[1]#TS(2) - ED112[2],,IOCLA(1) - EG305{1},AA(1) - EG209{2},,,
,13-14,IOCLA(1) - EG103{1},IOCLA(1) - EG410{2},,,TS(1) - ED112[1]#TS(2) - ED112[2],,IOCLA(1) - EG305{1},AA(1) - EG209{2},,,
,14-15,TS(1) - ED112[1]#TS(2) - ED112[2],,,AA(1) - EG209{2},,,,,,,
,15-16,TS(1) - ED112[1]#TS(2) - ED112[2],,,AA(1) - EG209{2},,,,,,,
,16-17,POO(1) - EG103b{1},,,,,,,,,EEA(1) - ED313[2]{2},
,17-18,POO(1) - EG103b{1},,,,,,,,,EEA(1) - ED313[2]{2},
,18-19,,,,,,,,,TS(2) - ED112[2],,
,19-20,,,,,,,,,TS(2) - ED112[2],,
,20-21,
,21-22,
MIERCURI,08-09,,,,,,IOCLA(1) - EG410{2},,,POO(1) - EG103{1},POO(1) - EG405{2},
,09-10,,,,,,IOCLA(1) - EG410{2},,,POO(1) - EG103{1},POO(1) - EG405{2},
,10-11,,,,EEA(1) - ED313[2]{2},POO(1) - EG103{1},POO(1) - EG405{2},,,IOCLA(1) - EG305{1},IOCLA(1) - EG410{2},
,11-12,,,,EEA(1) - ED313[2]{2},POO(1) - EG103{1},POO(1) - EG405{2},,,IOCLA(1) - EG305{1},IOCLA(1) - EG410{2},
,12-13,,,,,,,,,EEA(1) - ED313[1]{1},AA(1) - EG209{2},
,13-14,,,,,,,,,EEA(1) - ED313[1]{1},AA(1) - EG209{2},
,14-15,,,,,,,POO(1) - EG103b{1},POO(1) - EG405{2},AA(1) - EG209{1},,
,15-16,,,,,,,POO(1) - EG103b{1},POO(1) - EG405{2},AA(1) - EG209{1},,
,16-17,,,,,,,AA(1) - EG209{1},IOCLA(1) - EG410{2},,,
,17-18,,,,,,,AA(1) - EG209{1},IOCLA(1) - EG410{2},,,
,18-19,,,,,,,EEA(1) - ED313[1]{1},EEA(1) - ED313[2]{2},,,
,19-20,,,,,,,EEA(1) - ED313[1]{1},EEA(1) - ED313[2]{2},,,
,20-21,
,21-22,
JOI,08-09,"TEORIA SISTEMELOR (c), Prof. S. SERBAN (AN030)"
,09-10,"TEORIA SISTEMELOR (c), Prof. S. SERBAN (AN030)"
,10-11,"TEORIA SISTEMELOR (c), Prof. S. SERBAN (AN030)"
,11-12,"INTRODUCERE IN ORGANIZAREA CALCULATOARELOR SI LIMBAJE DE ASAMBLARE (c), Prof. V. LUNGU (EC105)"
,12-13,"INTRODUCERE IN ORGANIZAREA CALCULATOARELOR SI LIMBAJE DE ASAMBLARE (c), Prof. V. LUNGU (EC105)"
,13-14,"INTRODUCERE IN ORGANIZAREA CALCULATOARELOR SI LIMBAJE DE ASAMBLARE (c), Prof. V. LUNGU (EC105)"
,14-15,"FILOZOFIE COGNITIVISTA (c), Prof. V. LUNGU (A02Leu)[2]"AA(1) - EG209{1},,EEA(1) - ED313[1]{1},POO(1) - EG405{2},IOCLA(1) - EG305{1},,PED(2) - EC002,,TS(1) - ED112[1],,
,15-16,"FILOZOFIE COGNITIVISTA (c), Prof. V. LUNGU (A02Leu)[2]"AA(1) - EG209{1},,EEA(1) - ED313[1]{1},POO(1) - EG405{2},IOCLA(1) - EG305{1},,PED(2) - EC002,,TS(1) - ED112[1],,
,16-17,EEA(1) - ED313[1]{1},"PEDAGOGIE (c), S.L. Simona GABUREANU (A04Leu)[0]"EEA(1) - ED313[2]{2},,,,,,,,,
,17-18,EEA(1) - ED313[1]{1},"PEDAGOGIE (c), S.L. Simona GABUREANU (A04Leu)[0]"EEA(1) - ED313[2]{2},,,,,,,,,
,18-19,"MATEMATICA 4 (c), Prof MAT 4 (A04Leu)",,,,,EEA(1) - ED313[1]{2},,,,,
,19-20,"MATEMATICA 4 (c), Prof MAT 4 (A04Leu)",,,,,EEA(1) - ED313[1]{2},,,,,
,20-21,
,21-22,
VINERI,08-09,"PROGRAMARE ORIENTATA PE OBIECTE (c), Conf. Lorina NEGREANU (EC004)"
,09-10,"PROGRAMARE ORIENTATA PE OBIECTE (c), Conf. Lorina NEGREANU (EC004)"
,10-11,"PROGRAMARE ORIENTATA PE OBIECTE (c), Conf. Lorina NEGREANU (EC004)"
,11-12,"ANALIZA ALGORITMILOR (c), Prof. St. TRAUSAN-MATU (EC101)"
,12-13,"ANALIZA ALGORITMILOR (c), Prof. St. TRAUSAN-MATU (EC101)"
,13-14,"ANALIZA ALGORITMILOR (c), Prof. St. TRAUSAN-MATU (EC101)"
,14-15,FC(2) - AN205[1],,POO(1) - EG103b{1},,,,TS(1) - ED112[1],,FC(2) - AN205[2],,
