	 ###ORAR 3CA ####
	 Semestrul I    Anul universitar 2014 – 2015
Facultatea: AUTOMATICA SI CALCULATOARE
Specializarea: CALCULATOARE
ZIUA,ORA,331CA,,332CA,,333CA,,334CA,
,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,
LUNI,08-09,APD(1) - ED120{1},,CN(1) - EG206{1},,,RL(1) - EG207{2},,,
,09-10,APD(1) - ED120{1},,CN(1) - EG206{1},,,RL(1) - EG207{2},,,
,10-11,RL(1) - EG207{1},APD(1) - ED120{2},,,,CN(1) - EG206{2},,,
,11-12,RL(1) - EG207{1},APD(1) - ED120{2},,,,CN(1) - EG206{2},,,
,12-13,,,EGC(1) - EG304{1},CN(1) - EG206{2},,APD(1) - ED120{2},,,
,13-14,,,EGC(1) - EG304{1},CN(1) - EG206{2},,APD(1) - ED120{2},,,
,14-15,,CN(1) - EG206{2},LFA(2) - AN210,,,EGC(1) - EG304{2},,,
,15-16,,CN(1) - EG206{2},LFA(2) - AN210,,,EGC(1) - EG304{2},,,
,16-17,LFA(2) - AN210,,APD(1) - ED120{1},EGC(1) - EG304{2},,,RL(1) - EG207{1},CN(1) - EG206{2},
,17-18,LFA(2) - AN210,,APD(1) - ED120{1},EGC(1) - EG304{2},,,RL(1) - EG207{1},CN(1) - EG206{2},
,18-19,,,RL(1) - EG207{1},APD(1) - ED120{2},,,CN(1) - EG206{1},EGC(1) - EG304{2},
,19-20,,,RL(1) - EG207{1},APD(1) - ED120{2},,,CN(1) - EG206{1},EGC(1) - EG304{2},
,20-21,
,21-22,
MARTI,08-09,,RL(1) - EG207{2},,,LFA(2) - AN210,,EG(2) - BN217[2],,
,09-10,,RL(1) - EG207{2},,,LFA(2) - AN210,,EG(2) - BN217[2],,
,10-11,
,11-12,"ALGORITMI PARALELI SI DISTRIBUITI (c), Prof. V. CRISTEA (EC101)"
,12-13,"ALGORITMI PARALELI SI DISTRIBUITI (c), Prof. V. CRISTEA (EC101)"
,13-14,"ALGORITMI PARALELI SI DISTRIBUITI (c), Prof. V. CRISTEA (EC101)"
,14-15,"LIMBAJE FORMALE SI AUTOMATE (c), Conf. Lorina NEGREANU (EC105)"
,15-16,"LIMBAJE FORMALE SI AUTOMATE (c), Conf. Lorina NEGREANU (EC105)"
,16-17,"LIMBAJE FORMALE SI AUTOMATE (c), Conf. Lorina NEGREANU (EC105)"
,17-18,
,18-19,EGC(1) - EG304{1},,,,,,,,
,19-20,EGC(1) - EG304{1},,,,,,,,
,20-21,
,21-22,
MIERCURI,08-09,,,,RL(1) - EG207{2},APD(1) - ED120{1},,LFA(2) - AN217,,
,09-10,,,,RL(1) - EG207{2},APD(1) - ED120{1},,LFA(2) - AN217,,
,10-11,
,11-12,"RETELE LOCALE (c), Prof. N. TAPUS (EC004)"
,12-13,"RETELE LOCALE (c), Prof. N. TAPUS (EC004)"
,13-14,"RETELE LOCALE (c), Prof. N. TAPUS (EC004)"
,14-15,"ECONOMIE GENERALA (c), Conf. Corina DUMITRESCU (EC002)"
,15-16,"CALCULATOARE NUMERICE II (c), S.l. D. TUDOSE (A02Leu)"
,16-17,"CALCULATOARE NUMERICE II (c), S.l. D. TUDOSE (A02Leu)"
,17-18,"CALCULATOARE NUMERICE II (c), S.l. D. TUDOSE (A02Leu)"
,18-19,,EGC(1) - EG304{2},,,,,,,
,19-20,,EGC(1) - EG304{2},,,,,,,
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,"ELEMENTE DE GRAFICA PE CALCULATOR (c), Prof. Florica MOLDOVEANU (EC004)"
,12-13,"ELEMENTE DE GRAFICA PE CALCULATOR (c), Prof. Florica MOLDOVEANU (EC004)"
,13-14,"ELEMENTE DE GRAFICA PE CALCULATOR (c), Prof. Florica MOLDOVEANU (EC004)"
,14-15,CN(1) - EG206{1},,,,EG(2) - BN217[1]#EGC(1) - EG304{1},,,,
,15-16,CN(1) - EG206{1},,,,EG(2) - BN217[1]#EGC(1) - EG304{1},,,,
,16-17,EG(2) - BN217[1],,EG(2) - BN217[2],,CN(1) - EG206{1},,,,
,17-18,EG(2) - BN217[1],,EG(2) - BN217[2],,CN(1) - EG206{1},,,,
,18-19,
,19-20,
,20-21,
,21-22,
VINERI,08-09,,,,,RL(1) - EG207{1},,EGC(1) - EG304{1},APD(1) - ED120{2},
,09-10,,,,,RL(1) - EG207{1},,EGC(1) - EG304{1},APD(1) - ED120{2},
,10-11,,,,,,,APD(1) - ED120{1},RL(1) - EG207{2},
,11-12,,,,,,,APD(1) - ED120{1},RL(1) - EG207{2},
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E
