	 ###ORAR 4C3 ####
	 Semestrul I    Anul universitar 2014 – 2015
Facultatea: AUTOMATICA SI CALCULATOARE
Specializarea: CALCULATOARE
ZIUA,ORA,341C3,,342C3,,Optional 1 si 2,
,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,
LUNI,08-09,CPL(1) - EG106{1},,,,BD(1) - EG103{1},,
,09-10,CPL(1) - EG106{1},,,,BD(1) - EG103{1},,
,10-11,BD(1) - EG103{1},,MP(2) - BN212[1],,,,
,11-12,BD(1) - EG103{1},,MP(2) - BN212[1],,,,
,12-13,"Baze de Date II (c), Prof. M. PETRESCU (EG305)"
,13-14,"Baze de Date II (c), Prof. M. PETRESCU (EG305)"
,14-15,"Baze de Date II (c), Prof. M. PETRESCU (EG305)"
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MARTI,08-09,,SPRC(1) - EG205{2},BM(2) - BN212[2]{1},,,BD(1) - EG103{2},
,09-10,,SPRC(1) - EG205{2},BM(2) - BN212[2]{1},,,BD(1) - EG103{2},
,10-11,,BD(1) - EG103{2},CPL(1) - EG106{1},BM(2) - BN212[2]{2},,,
,11-12,,BD(1) - EG103{2},CPL(1) - EG106{1},BM(2) - BN212[2]{2},,,
,12-13,MP(2) - BN212[1]#BM(2) - BN212,,,SPRC(1) - EG205{2},,,
,13-14,MP(2) - BN212[1]#BM(2) - BN212,,,SPRC(1) - EG205{2},,,
,14-15,,,SPRC(1) - EG205{1},,,,
,15-16,,,SPRC(1) - EG205{1},,,,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MIERCURI,08-09,,CPL(1) - EG106{2},,,,,
,09-10,,CPL(1) - EG106{2},,,,,
,10-11,
,11-12,"Inteligenta Artificiala (c), Prof. Adina FLOREA (EC101)"
,12-13,"Inteligenta Artificiala (c), Prof. Adina FLOREA (EC101)"
,13-14,"Inteligenta Artificiala (c), Prof. Adina FLOREA (EC101)"
,14-15,,,IA(1) - EG404{1},BD(1) - EG103{2},,,
,15-16,,,IA(1) - EG404{1},BD(1) - EG103{2},,,
,16-17,,,BD(1) - EG103{1},IA(1) - EG404{2},,,
,17-18,,,BD(1) - EG103{1},IA(1) - EG404{2},,,
,18-19,
,19-20,
,20-21,
,21-22,
JOI,08-09,"COMPILATOARE (c), Drd.ing.B. NITULESCU (EC101)"
,09-10,"COMPILATOARE (c), Drd.ing.B. NITULESCU (EC101)"
,10-11,"COMPILATOARE (c), Drd.ing.B. NITULESCU (EC101)"
,11-12,"SISTEME DE PROGRAMARE A RETELELOR DE CALCULATOARE (c), Prof. V. CRISTEA (EC101)"
,12-13,"SISTEME DE PROGRAMARE A RETELELOR DE CALCULATOARE (c), Prof. V. CRISTEA (EC101)"
,13-14,"SISTEME DE PROGRAMARE A RETELELOR DE CALCULATOARE (c), Prof. V. CRISTEA (EC101)"
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
VINERI,08-09,"MANAGEMENTUL PROIECTELOR (c), prof. Doina Serban (AN034)[1]",,CPL(1) - EG106,,,,
,09-10,"MANAGEMENTUL PROIECTELOR (c), prof. Doina Serban (AN034)[1]",,CPL(1) - EG106,,,,
,10-11,"MANAGEMENTUL PROIECTELOR (c), prof. Doina Serban (AN034)[1]"#"BAZELE MANAGEMENTULUI (c), prof. Doina Serban (AN034)[2]"
,11-12,"MANAGEMENTUL PROIECTELOR (c), prof. Doina Serban (AN034)[1]"#"BAZELE MANAGEMENTULUI (c), prof. Doina Serban (AN034)[2]"
,12-13,SPRC(1) - EG205{1},IA(1) - EG404{2},,,,,
,13-14,SPRC(1) - EG205{1},IA(1) - EG404{2},,,,,
,14-15,IA(1) - EG404{1},,,,,,
,15-16,IA(1) - EG404{1},,,,,,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E
