	 ###ORAR 5CM-IA-en ####
	 Semestrul I    Anul universitar 2014 – 2015
Facultatea: AUTOMATICA SI CALCULATOARE
Specializarea: CALCULATOARE
ZIUA,ORA,Subgrupa1,Subgrupa2,Optionali
,,Disciplina si sala,Disciplina si sala,Disciplina si sala
LUNI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,"Knowledge Representation and Reasoning (c), Prof. Adina FLOREA (EC102)"
,17-18,"Knowledge Representation and Reasoning (c), Prof. Adina FLOREA (EC102)"
,18-19,KRR(1) - EG404,KRR(1) - EG404,KRR(1) - EG404,
,19-20,KRR(1) - EG404,KRR(1) - EG404,KRR(1) - EG404,
,20-21,
,21-22,
MARTI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MIERCURI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,"Data Mining (c), Prof. Fl. RADULESCU (EC102)"
,17-18,"Data Mining (c), Prof. Fl. RADULESCU (EC102)"
,18-19,DM(3) - EG404,DM(3) - EG404,DM(3) - EG404,
,19-20,DM(3) - EG404,DM(3) - EG404,DM(3) - EG404,
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,TSFP(1) - EG103b,,TSFP(1) - EG103b,
,15-16,TSFP(1) - EG103b,,TSFP(1) - EG103b,
,16-17,"Type Systems and Functional Programming (c), S.L. M. MURARU (EC102)"
,17-18,"Type Systems and Functional Programming (c), S.L. M. MURARU (EC102)"
,18-19,,TSFP(1) - EG103b,,
,19-20,,TSFP(1) - EG103b,,
,20-21,
,21-22,
VINERI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E
