	 ###ORAR 5CM-ISI ####
	 Semestrul I    Anul universitar 2014 – 2015
Facultatea: AUTOMATICA SI CALCULATOARE
Specializarea: CALCULATOARE
ZIUA,ORA,Subgrupa1,Subgrupa2,Optionali
,,Disciplina si sala,Disciplina si sala,Disciplina si sala
LUNI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,"Reprezentarea cunostintelor (c), Prof. Adina FLOREA (EC102)"
,17-18,"Reprezentarea cunostintelor (c), Prof. Adina FLOREA (EC102)"
,18-19,"Sisteme adaptive si colaborative (c), Prof. St. TRAUSAN-MATU (EC102)"
,19-20,"Sisteme adaptive si colaborative (c), Prof. St. TRAUSAN-MATU (EC102)"
,20-21,SAC(1) - EG103b,SAC(1) - EG103b,SAC(1) - EG103b,
,21-22,SAC(1) - EG103b,SAC(1) - EG103b,SAC(1) - EG103b,
MARTI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,"Dezvoltarea aplicatiilor pentru Internet Java EE si .NET (c), Dr.ing. G. GODZA (EC102)"
,17-18,"Dezvoltarea aplicatiilor pentru Internet Java EE si .NET (c), Dr.ing. G. GODZA (EC102)"
,18-19,DAI(1) - EG205,DAI(1) - EG205,DAI(1) - EG205,
,19-20,DAI(1) - EG205,DAI(1) - EG205,DAI(1) - EG205,
,20-21,
,21-22,
MIERCURI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,RCS(1) - EG404,RCS(1) - EG404,RCS(1) - EG404,
,19-20,RCS(1) - EG404,RCS(1) - EG404,RCS(1) - EG404,
,20-21,
,21-22,
VINERI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E
