	 ###ORAR 5CM-SCPD-en ####
	 Semestrul I    Anul universitar 2014 – 2015
Facultatea: AUTOMATICA SI CALCULATOARE
Specializarea: CALCULATOARE
ZIUA,ORA,Subgrupa1,Subgrupa2,Optionali
,,Disciplina si sala,Disciplina si sala,Disciplina si sala
LUNI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,SCR(1) - EG106,SCR(1) - EG106,SCR(1) - EG106,
,17-18,SCR(1) - EG106,SCR(1) - EG106,SCR(1) - EG106,
,18-19,"Securitatea calculatoarelor si a retelelor (c), S.l. R. DEACONESCU (EC002)"
,19-20,"Securitatea calculatoarelor si a retelelor (c), S.l. R. DEACONESCU (EC002)"
,20-21,
,21-22,
MARTI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,PP(1) - ED202,PP(1) - ED202,PP(1) - ED202,
,17-18,PP(1) - ED202,PP(1) - ED202,PP(1) - ED202,
,18-19,"Parallel Programming (c), Conf. E. SLUSANSCHI (ED202)"
,19-20,"Parallel Programming (c), Conf. E. SLUSANSCHI (ED202)"
,20-21,
,21-22,
MIERCURI,08-09,"Metode si Algoritmi de Planificare (c), Conf. F. POP (EC002)"
,09-10,"Metode si Algoritmi de Planificare (c), Conf. F. POP (EC002)"
,10-11,MAP(3) - EG403,MAP(3) - EG403,MAP(3) - EG403,
,11-12,MAP(3) - EG403,MAP(3) - EG403,MAP(3) - EG403,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,SO(3) - EG106,SO(3) - EG106,SO(3) - EG106,
,17-18,SO(3) - EG106,SO(3) - EG106,SO(3) - EG106,
,18-19,"Sisteme de Operare (c), Conf. R. RUGHINIS (EC102)"
,19-20,"Sisteme de Operare (c), Conf. R. RUGHINIS (EC102)"
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
VINERI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E
