	 ###ORAR 6CM-MTI ####
	 Semestrul I    Anul universitar 2014 – 2015
Facultatea: AUTOMATICA SI CALCULATOARE
Specializarea: CALCULATOARE
ZIUA,ORA,Subgrupa 1,Subgrupa 2,Optionali
,,Disciplina si sala,Disciplina si sala,Disciplina si sala
LUNI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MARTI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,"Managementul Marketingului (c), S.l. D. DUMITRIU (EC002)"
,17-18,"Managementul Marketingului (c), S.l. D. DUMITRIU (EC002)"
,18-19,PSA(1) - AN217,PSA(1) - AN217,PSA(1) - AN217,
,19-20,PSA(1) - AN217,PSA(1) - AN217,PSA(1) - AN217,
,20-21,
,21-22,
MIERCURI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,MMK(1) - BN212[1],MMK(1) - BN212[1],MMK(1) - BN212[1],
,18-19,MMK(1) - BN212[1],MMK(1) - BN212[1],MMK(1) - BN212[1],
,19-20,MMK(1) - BN212[1],MMK(1) - BN212[1],MMK(1) - BN212[1],
,20-21,MMK(1) - BN212[1],MMK(1) - BN212[1],MMK(1) - BN212[1],
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
VINERI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,"Politici si Strategii (c), Conf. Gh. MILITARU (EC102)"
,15-16,"Politici si Strategii (c), Conf. Gh. MILITARU (EC102)"
,16-17,"Managementul Proiectelor (c), S.L. Elena FLEACA (EC102)"
,17-18,"Managementul Proiectelor (c), S.L. Elena FLEACA (EC102)"
,18-19,MPR(1) - EC102,MPR(1) - EC102,MPR(1) - EC102,
,19-20,MPR(1) - EC102,MPR(1) - EC102,MPR(1) - EC102,
,20-21,
,21-22,
E
