	 ###ORAR 6CM-SRIC ####
	 Semestrul I    Anul universitar 2014 – 2015
Facultatea: AUTOMATICA SI CALCULATOARE
Specializarea: CALCULATOARE
ZIUA,ORA,Subgrupa 1,Subgrupa 2,Optionali
,,Disciplina si sala,Disciplina si sala,Disciplina si sala
LUNI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,"Auditarea securitatii retelelor (c), Conf. I. BICA (EC002)"
,17-18,"Auditarea securitatii retelelor (c), Conf. I. BICA (EC002)"
,18-19,ASR(1) - EG106,,ASR(1) - EG106,
,19-20,ASR(1) - EG106,,ASR(1) - EG106,
,20-21,,ASR(1) - ED202,,
,21-22,,ASR(1) - ED202,,
MARTI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MIERCURI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,SPD(1) - ED218,,SPD(1) - ED218,
,15-16,SPD(1) - ED218,,SPD(1) - ED218,
,16-17,"Sisteme paralele si distribuite (c), Prof. N. TAPUS (ED202)"
,17-18,"Sisteme paralele si distribuite (c), Prof. N. TAPUS (ED202)"
,18-19,,SPD(1) - ED218,,
,19-20,,SPD(1) - ED218,,
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
VINERI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E
