	 ###ORAR de folosire a salilor de curs ####
	 Semestrul I    Anul universitar 2014 – 2015
,LUNI,,,,,,,,,,,,,,MARTI,,,,,,,,,,,,,,MIERCURI,,,,,,,,,,,,,,JOI,,,,,,,,,,,,,,VINERI,,,,,,,,,,,,,,
SALA,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,
A02Leu,,,,,,,," MATEMATICA 2 Seria1"," MATEMATICA 2 Seria1"," MATEMATICA 2 Seria1",,,,,," PROIECTARE LOGICA Seria1"," PROIECTARE LOGICA Seria1"," PROIECTARE LOGICA Seria1",,,,,,,,,,,," MATEMATICA 1 Seria2"," MATEMATICA 1 Seria2"," MATEMATICA 1 Seria2"," MATEMATICA 2 Seria2"," MATEMATICA 2 Seria2"," MATEMATICA 2 Seria2"," CALCULATOARE NUMERICE II Seria6"," CALCULATOARE NUMERICE II Seria6"," CALCULATOARE NUMERICE II Seria6",,,,,,,,,," MATEMATICA 1 Seria0"," MATEMATICA 1 Seria0"" FILOZOFIE COGNITIVISTA Seria3[2]"," MATEMATICA 1 Seria0"" FILOZOFIE COGNITIVISTA Seria3[2]",,," PSIHOLOGIA EDUCATIEI Seria0"" PSIHOLOGIA EDUCATIEI Seria1"" PSIHOLOGIA EDUCATIEI Seria2"," PSIHOLOGIA EDUCATIEI Seria0"" PSIHOLOGIA EDUCATIEI Seria1"" PSIHOLOGIA EDUCATIEI Seria2",,,,,,,,," Logica Seria1(sem)[1]"" ISTORIA FILOZOFIEI Seria2[2]"," Logica Seria1(sem)[1]"" ISTORIA FILOZOFIEI Seria2[2]",,,,,,,
A04Leu," ISTORIA RELIGIILOR Seria0[2]"," ISTORIA RELIGIILOR Seria0[2]",,,,,,,,,,,,,,,,,,," ELEMENTE DE GRAFICA PE CALCULATOR Seria8"," ELEMENTE DE GRAFICA PE CALCULATOR Seria8"," ELEMENTE DE GRAFICA PE CALCULATOR Seria8"," Aplicatii Integrate pentru Intreprinderi Seria12"," Aplicatii Integrate pentru Intreprinderi Seria12"," Aplicatii Integrate pentru Intreprinderi Seria12",,,,,,," Logica Seria1(sem)[2]"," Logica Seria1(sem)[2]",,,,,,,,,,,,,,," FILOZOFIA CULTURII TEHNICE Seria4[1]"," FILOZOFIA CULTURII TEHNICE Seria4[1]"," PEDAGOGIE Seria3"," PEDAGOGIE Seria3"," MATEMATICA 4 Seria3"" MATEMATICA 4 Seria5"," MATEMATICA 4 Seria3"" MATEMATICA 4 Seria5",,,,,,," LOGICA Seria1[1]"," LOGICA Seria1[1]",,,,,,,,,
EC105,," ARHITECTURI si PRELUCRARI PARALELE Seria9"," ARHITECTURI si PRELUCRARI PARALELE Seria9"," ARHITECTURI si PRELUCRARI PARALELE Seria9"," INTRODUCERE IN INFORMATICA Seria0[2]"" INTRODUCERE IN INFORMATICA Seria1[2]"" INTRODUCERE IN INFORMATICA Seria2[2]"," INTRODUCERE IN INFORMATICA Seria0[2]"" INTRODUCERE IN INFORMATICA Seria1[2]"" INTRODUCERE IN INFORMATICA Seria2[2]"," UTILIZAREA SISTEMELOR DE OPERARE Seria0"," UTILIZAREA SISTEMELOR DE OPERARE Seria0"," UTILIZAREA SISTEMELOR DE OPERARE Seria2"," UTILIZAREA SISTEMELOR DE OPERARE Seria2"," UTILIZAREA SISTEMELOR DE OPERARE Seria1"," UTILIZAREA SISTEMELOR DE OPERARE Seria1",,,,,,," PROGRAMAREA CALCULATOARELOR Seria1"," PROGRAMAREA CALCULATOARELOR Seria1"," LIMBAJE FORMALE SI AUTOMATE Seria6"" LIMBAJE FORMALE SI AUTOMATE Seria7"," LIMBAJE FORMALE SI AUTOMATE Seria6"" LIMBAJE FORMALE SI AUTOMATE Seria7"," LIMBAJE FORMALE SI AUTOMATE Seria6"" LIMBAJE FORMALE SI AUTOMATE Seria7"," ELEMENTE DE ELECTRONICA ANALOGICA Seria5"," ELEMENTE DE ELECTRONICA ANALOGICA Seria5"," ELEMENTE DE ELECTRONICA ANALOGICA Seria5",,,,,,,,,,," ELEMENTE DE ELECTRONICA ANALOGICA Seria4"," ELEMENTE DE ELECTRONICA ANALOGICA Seria4"," ELEMENTE DE ELECTRONICA ANALOGICA Seria4",,,," PROIECTARE LOGICA Seria2"," PROIECTARE LOGICA Seria2"," PROIECTARE LOGICA Seria2"," INTRODUCERE IN ORGANIZAREA CALCULATOARELOR SI LIMBAJE DE ASAMBLARE Seria3"," INTRODUCERE IN ORGANIZAREA CALCULATOARELOR SI LIMBAJE DE ASAMBLARE Seria3"," INTRODUCERE IN ORGANIZAREA CALCULATOARELOR SI LIMBAJE DE ASAMBLARE Seria3",,,,," PROIECTAREA RETELELOR Seria9"," PROIECTAREA RETELELOR Seria9"," PROIECTAREA RETELELOR Seria9",," INTRODUCERE IN ORGANIZAREA CALCULATOARELOR SI LIMBAJE DE ASAMBLARE Seria4"" INTRODUCERE IN ORGANIZAREA CALCULATOARELOR SI LIMBAJE DE ASAMBLARE Seria5"," INTRODUCERE IN ORGANIZAREA CALCULATOARELOR SI LIMBAJE DE ASAMBLARE Seria4"" INTRODUCERE IN ORGANIZAREA CALCULATOARELOR SI LIMBAJE DE ASAMBLARE Seria5"," INTRODUCERE IN ORGANIZAREA CALCULATOARELOR SI LIMBAJE DE ASAMBLARE Seria4"" INTRODUCERE IN ORGANIZAREA CALCULATOARELOR SI LIMBAJE DE ASAMBLARE Seria5",,,,,,,," Tehnici de Comunicare si Scriere Tehnica Seria17"," Tehnici de Comunicare si Scriere Tehnica Seria17",,,
EC004,,,,,,,,,," ELEMENTE DE ELECTRONICA ANALOGICA Seria3"," ELEMENTE DE ELECTRONICA ANALOGICA Seria3"," ELEMENTE DE ELECTRONICA ANALOGICA Seria3",,,,,,,,," Inteligenta Artificiala Seria12"," Inteligenta Artificiala Seria12"," Inteligenta Artificiala Seria12"," RETELE LOCALE Seria7"," RETELE LOCALE Seria7"," RETELE LOCALE Seria7",,," ELEMENTE DE GRAFICA PE CALCULATOR Seria7"," ELEMENTE DE GRAFICA PE CALCULATOR Seria7"," ELEMENTE DE GRAFICA PE CALCULATOR Seria7"," RETELE LOCALE Seria6"," RETELE LOCALE Seria6"," RETELE LOCALE Seria6"," ALGORITMI PARALELI SI DISTRIBUITI Seria8"," ALGORITMI PARALELI SI DISTRIBUITI Seria8"," ALGORITMI PARALELI SI DISTRIBUITI Seria8"," RETELE LOCALE Seria8"," RETELE LOCALE Seria8"," RETELE LOCALE Seria8",,,,,," ELEMENTE DE GRAFICA PE CALCULATOR Seria6"," ELEMENTE DE GRAFICA PE CALCULATOR Seria6"," ELEMENTE DE GRAFICA PE CALCULATOR Seria6",,,,,,,,," PROGRAMARE ORIENTATA PE OBIECTE Seria3"," PROGRAMARE ORIENTATA PE OBIECTE Seria3"," PROGRAMARE ORIENTATA PE OBIECTE Seria3"," ANALIZA ALGORITMILOR Seria4"," ANALIZA ALGORITMILOR Seria4"," ANALIZA ALGORITMILOR Seria4"," Evaluarea Performantelor Seria13"," Evaluarea Performantelor Seria13"," Evaluarea Performantelor Seria13",," Computer Vision Seria17"," Computer Vision Seria17",,,
EC101," LIMBAJE FORMALE SI AUTOMATE Seria8"," LIMBAJE FORMALE SI AUTOMATE Seria8"," LIMBAJE FORMALE SI AUTOMATE Seria8",,,," ALGORITMI PARALELI SI DISTRIBUITI Seria7"," ALGORITMI PARALELI SI DISTRIBUITI Seria7"," ALGORITMI PARALELI SI DISTRIBUITI Seria7"," CALCULATOARE NUMERICE II Seria7"," CALCULATOARE NUMERICE II Seria7"," CALCULATOARE NUMERICE II Seria7"," Antreprenoriat, protectia proprietatii intelectuale si diseminare in cercetare Seria26"," Antreprenoriat, protectia proprietatii intelectuale si diseminare in cercetare Seria26",,,," ALGORITMI PARALELI SI DISTRIBUITI Seria6"," ALGORITMI PARALELI SI DISTRIBUITI Seria6"," ALGORITMI PARALELI SI DISTRIBUITI Seria6"," PROGRAMARE ORIENTATA PE OBIECTE Seria5"," PROGRAMARE ORIENTATA PE OBIECTE Seria5"," PROGRAMARE ORIENTATA PE OBIECTE Seria5"," CALCULATOARE NUMERICE II Seria8"," CALCULATOARE NUMERICE II Seria8"," CALCULATOARE NUMERICE II Seria8",,,,,," Inteligenta Artificiala Seria11"," Inteligenta Artificiala Seria11"," Inteligenta Artificiala Seria11"," Sisteme de Prelucrare Grafica Seria12"," Sisteme de Prelucrare Grafica Seria12"," Sisteme de Prelucrare Grafica Seria12"," Interfata Om Calculator Seria12"," Interfata Om Calculator Seria12"," Interfata Om Calculator Seria12",,," COMPILATOARE Seria11"," COMPILATOARE Seria11"," COMPILATOARE Seria11"," SISTEME DE PROGRAMARE A RETELELOR DE CALCULATOARE Seria11"," SISTEME DE PROGRAMARE A RETELELOR DE CALCULATOARE Seria11"," SISTEME DE PROGRAMARE A RETELELOR DE CALCULATOARE Seria11",,,," Utilizarea Bazelor de Date Seria13"," Utilizarea Bazelor de Date Seria13"," Utilizarea Bazelor de Date Seria13",,,,,," ANALIZA ALGORITMILOR Seria3"," ANALIZA ALGORITMILOR Seria3"," ANALIZA ALGORITMILOR Seria3"," STRUCTURI MULTIPROCESOR Seria9"," STRUCTURI MULTIPROCESOR Seria9"," STRUCTURI MULTIPROCESOR Seria9",,,,,,
EC002," Infrastructura si Servicii pentru Retele Mobile Seria23"," Infrastructura si Servicii pentru Retele Mobile Seria23"," Cloud Computing Seria24"," Cloud Computing Seria24",,,,," Auditarea securitatii retelelor Seria33"," Auditarea securitatii retelelor Seria33"," Securitatea calculatoarelor si a retelelor Seria22"," Securitatea calculatoarelor si a retelelor Seria22",,," PEDAGOGIE Seria4"" PEDAGOGIE Seria5"," PEDAGOGIE Seria4"" PEDAGOGIE Seria5"," Sisteme Incorporate Seria10"," Sisteme Incorporate Seria10"," Sisteme Incorporate Seria10"," Sisteme cu Microprocesoare Seria10"," Sisteme cu Microprocesoare Seria10"," Sisteme cu Microprocesoare Seria10"," Managementul Marketingului Seria31"," Managementul Marketingului Seria31"," Securitatea calculatoarelor si a retelelor Seria23"," Securitatea calculatoarelor si a retelelor Seria23",,," Metode si Algoritmi de Planificare Seria22"," Metode si Algoritmi de Planificare Seria22",,,,," ECONOMIE GENERALA Seria6"," Managementul Proiectelor Software Seria13"," Managementul Proiectelor Software Seria13"," Managementul Proiectelor Software Seria13"," Geometrie Computationala Seria17"," Geometrie Computationala Seria17",,," Mat1 Seria0(sem)"," Mat1 Seria0(sem)"," Mat1 Seria0(sem)"," Mat1 Seria0(sem)"," LFA Seria8(sem)"," LFA Seria8(sem)"," PED Seria3(sem)"," PED Seria3(sem)",,," Politici in sisteme distribuite Seria27"" Politici in sisteme distribuite Seria34"," Politici in sisteme distribuite Seria27"" Politici in sisteme distribuite Seria34",,," Management financiar Seria21"," Management financiar Seria21",,,,,,," Metode Avansate in Securitatea Calculatoarelor si Retelelor Seria32"," Metode Avansate in Securitatea Calculatoarelor si Retelelor Seria32",,,,,
EC102,," INTEGRAREA SISTEMELOR INFORMATICE Seria13"," INTEGRAREA SISTEMELOR INFORMATICE Seria13"" Cloud Computing Seria16"," INTEGRAREA SISTEMELOR INFORMATICE Seria13"" Cloud Computing Seria16",,," Software Verification and Validation Seria29"," Software Verification and Validation Seria29"," Knowledge Representation and Reasoning Seria19"" Reprezentarea cunostintelor Seria20"," Knowledge Representation and Reasoning Seria19"" Reprezentarea cunostintelor Seria20"," Sisteme adaptive si colaborative Seria16"" Sisteme adaptive si colaborative Seria20"," Sisteme adaptive si colaborative Seria16"" Sisteme adaptive si colaborative Seria20",,," Metode Avansate in Sisteme Distribuite Seria32"," Metode Avansate in Sisteme Distribuite Seria32"," Sisteme avansate de analiza si prelucrare a imaginilor Seria18"," Sisteme avansate de analiza si prelucrare a imaginilor Seria18"," ECONOMIE GENERALA Seria7[2]"" ECONOMIE GENERALA Seria8[1]"," ECONOMIE GENERALA Seria7[2]"" ECONOMIE GENERALA Seria8[1]",,," Dezvoltarea aplicatiilor pentru Internet Java EE si .NET Seria20"" Dezvoltarea aplicatiilor pentru Internet Java EE si .NET Seria24"," Dezvoltarea aplicatiilor pentru Internet Java EE si .NET Seria20"" Dezvoltarea aplicatiilor pentru Internet Java EE si .NET Seria24"," Managementul si Securitatea Informatiilor Seria21"," Managementul si Securitatea Informatiilor Seria21"," MSI Seria21(lab)"" MSI Seria21(lab)"," MSI Seria21(lab)"" MSI Seria21(lab)",," Prelucrarea Semnalelor Seria10"," Prelucrarea Semnalelor Seria10"," Prelucrarea Semnalelor Seria10"," Sisteme de incredere Seria32"," Sisteme de incredere Seria32"," Architectura orientata pe servicii a sistemelor informatice Seria15"" Architectura orientata pe servicii a sistemelor informatice Seria24"," Architectura orientata pe servicii a sistemelor informatice Seria15"" Architectura orientata pe servicii a sistemelor informatice Seria24"," Data Mining Seria19"," Data Mining Seria19"," Sisteme de Operare Seria22"," Sisteme de Operare Seria22",,,,,,," Analiza si Extragerea Automata a Continutului Documentelor Seria28"," Analiza si Extragerea Automata a Continutului Documentelor Seria28",,," Type Systems and Functional Programming Seria19"," Type Systems and Functional Programming Seria19"," Gestiunea serviciilor de retea Seria23"," Gestiunea serviciilor de retea Seria23",,,,," Securitatea informatica Seria27"" Securitatea informatica Seria30"" Securitatea informatica Seria34"," Securitatea informatica Seria27"" Securitatea informatica Seria30"" Securitatea informatica Seria34"," Sisteme avansate pentru baze de date Seria15"," Sisteme avansate pentru baze de date Seria15"," Politici si Strategii Seria31"," Politici si Strategii Seria31"," Managementul Proiectelor Seria31"," Managementul Proiectelor Seria31"," MPR Seria31(lab)"" MPR Seria31(lab)"," MPR Seria31(lab)"" MPR Seria31(lab)",,,
AN030," PROGRAMARE ORIENTATA OBIECT Seria4"," PROGRAMARE ORIENTATA OBIECT Seria4"," PROGRAMARE ORIENTATA OBIECT Seria4"," TEORIA SISTEMELOR Seria4"," TEORIA SISTEMELOR Seria4"," TEORIA SISTEMELOR Seria4"," ANALIZA ALGORITMILOR Seria5"," ANALIZA ALGORITMILOR Seria5"," ANALIZA ALGORITMILOR Seria5"," TEORIA SISTEMELOR Seria5"," TEORIA SISTEMELOR Seria5"," TEORIA SISTEMELOR Seria5",,,," PROIECTARE LOGICA Seria0"," PROIECTARE LOGICA Seria0"," PROIECTARE LOGICA Seria0"," PROGRAMAREA CALCULATOARELOR Seria0"," PROGRAMAREA CALCULATOARELOR Seria0"," MATEMATICA 2 Seria0"," MATEMATICA 2 Seria0"," MATEMATICA 2 Seria0",,,,,,," MATEMATICA 1 Seria1"," MATEMATICA 1 Seria1"," MATEMATICA 1 Seria1",,,,,," Management de resurse umane Seria21"," Management de resurse umane Seria21"," MRU Seria21(lab)"" MRU Seria21(lab)"," MRU Seria21(lab)"" MRU Seria21(lab)",," TEORIA SISTEMELOR Seria3"," TEORIA SISTEMELOR Seria3"," TEORIA SISTEMELOR Seria3",," PSIHOINVENTICA Seria5[2]"," PSIHOINVENTICA Seria5[2]",,," GRAFICA INGINEREASCA Seria0[1]"" MECANICA Seria0[2]"" GRAFICA INGINEREASCA Seria1[1]"" MECANICA Seria1[2]"" GRAFICA INGINEREASCA Seria2[1]"" MECANICA Seria2[2]"," GRAFICA INGINEREASCA Seria0[1]"" MECANICA Seria0[2]"" GRAFICA INGINEREASCA Seria1[1]"" MECANICA Seria1[2]"" GRAFICA INGINEREASCA Seria2[1]"" MECANICA Seria2[2]",,,,,,,,," PROGRAMAREA CALCULATOARELOR Seria2"," PROGRAMAREA CALCULATOARELOR Seria2",,,,,,,,,
AN034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Securitatea sistemelor informatice Seria15"," Securitatea sistemelor informatice Seria15",,,,,,,,,,,,,,,,," MANAGEMENTUL PROIECTELOR Seria9[1]"" MANAGEMENTUL PROIECTELOR Seria10[1]"" MANAGEMENTUL PROIECTELOR Seria11[1]"" MANAGEMENTUL PROIECTELOR Seria12[1]"" MANAGEMENTUL PROIECTELOR Seria13[1]"," MANAGEMENTUL PROIECTELOR Seria9[1]"" MANAGEMENTUL PROIECTELOR Seria10[1]"" MANAGEMENTUL PROIECTELOR Seria11[1]"" MANAGEMENTUL PROIECTELOR Seria12[1]"" MANAGEMENTUL PROIECTELOR Seria13[1]"," MANAGEMENTUL PROIECTELOR Seria9[1]"" BAZELE MANAGEMENTULUI Seria9[2]"" MANAGEMENTUL PROIECTELOR Seria10[1]"" BAZELE MANAGEMENTULUI Seria10[2]"" MANAGEMENTUL PROIECTELOR Seria11[1]"" BAZELE MANAGEMENTULUI Seria11[2]"" MANAGEMENTUL PROIECTELOR Seria12[1]"" BAZELE MANAGEMENTULUI Seria12[2]"" MANAGEMENTUL PROIECTELOR Seria13[1]"" BAZELE MANAGEMENTULUI Seria13[2]"," MANAGEMENTUL PROIECTELOR Seria9[1]"" BAZELE MANAGEMENTULUI Seria9[2]"" MANAGEMENTUL PROIECTELOR Seria10[1]"" BAZELE MANAGEMENTULUI Seria10[2]"" MANAGEMENTUL PROIECTELOR Seria11[1]"" BAZELE MANAGEMENTULUI Seria11[2]"" MANAGEMENTUL PROIECTELOR Seria12[1]"" BAZELE MANAGEMENTULUI Seria12[2]"" MANAGEMENTUL PROIECTELOR Seria13[1]"" BAZELE MANAGEMENTULUI Seria13[2]",,,,,,,,,,,
