	 ###ORAR de folosire a salilor de laborator ####
	 Semestrul I    Anul universitar 2014 – 2015
,LUNI,,,,,,,,,,,,,,MARTI,,,,,,,,,,,,,,MIERCURI,,,,,,,,,,,,,,JOI,,,,,,,,,,,,,,VINERI,,,,,,,,,,,,,,
SALA,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,
EF001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," SA-VLSI Seria14(lab)"," SA-VLSI Seria14(lab)"," Structuri avansate VLSI Seria14"," Structuri avansate VLSI Seria14"," SA-VLSI Seria14(lab)"" SA-VLSI Seria14(lab)"," SA-VLSI Seria14(lab)"" SA-VLSI Seria14(lab)",,,,,,,,," Circuite inteligente bazate pe logica fuzzy Seria14"," Circuite inteligente bazate pe logica fuzzy Seria14"," CIBLF Seria14(lab)"" CIBLF Seria14(lab)"," CIBLF Seria14(lab)"" CIBLF Seria14(lab)",,,,,,,,,,,,,,,,,
ED202,,,,," APP Seria9(lab)"," APP Seria9(lab)"," APP Seria9(lab)"," APP Seria9(lab)",,," APP Seria9(lab)"," APP Seria9(lab)"," ASR Seria33(lab)"," ASR Seria33(lab)",,," APP Seria9(lab)"," APP Seria9(lab)"," APP Seria9(lab)"," APP Seria9(lab)"," APP Seria9(lab)"," APP Seria9(lab)"," PP Seria22(lab)"" PP Seria22(lab)"" PP Seria22(lab)"," PP Seria22(lab)"" PP Seria22(lab)"" PP Seria22(lab)"," Parallel Programming Seria22"," Parallel Programming Seria22",,," APP Seria9(lab)"," APP Seria9(lab)"," APP Seria9(lab)"," APP Seria9(lab)"," APP Seria9(lab)"," APP Seria9(lab)"," SPD Seria25(lab)"" SPD Seria25(lab)"," SPD Seria25(lab)"" SPD Seria25(lab)"," Sisteme paralele si distribuite Seria25"" Sisteme paralele si distribuite Seria33"," Sisteme paralele si distribuite Seria25"" Sisteme paralele si distribuite Seria33"," SPD Seria25(lab)"," SPD Seria25(lab)",,," Sisteme de regasire a informatiei Seria30"," Sisteme de regasire a informatiei Seria30"," SRI Seria30(lab)"," SRI Seria30(lab)",,,,," MTPHPC Seria25(lab)"" MTPHPC Seria25(lab)"" MTPHPC Seria25(lab)"," MTPHPC Seria25(lab)"" MTPHPC Seria25(lab)"" MTPHPC Seria25(lab)"," Metode si tehnici de programare in High Performance Computing Seria25"," Metode si tehnici de programare in High Performance Computing Seria25",,," SCI Seria30(p)"," SCI Seria30(p)",,,,,,," TCST Seria17(lab)"" TCST Seria17(lab)"," TCST Seria17(lab)"" TCST Seria17(lab)",,,,,
ED220," CN Seria7(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," CN Seria8(lab)"," CN Seria8(lab)",,,,,,,,," CN Seria8(lab)"," CN Seria8(lab)"," CN Seria8(lab)"," CN Seria8(lab)"," CN Seria7(lab)"," CN Seria7(lab)",,,,,,,,," E-Government Seria16"," E-Government Seria16"," E-GOV Seria16(lab)[1]"" E-GOV Seria16(lab)[2]"" E-GOV Seria16(lab)[1]"," E-GOV Seria16(lab)[1]"" E-GOV Seria16(lab)[2]"" E-GOV Seria16(lab)[1]"," CN Seria8(lab)"," CN Seria8(lab)"," SM Seria10(lab)"," SM Seria10(lab)"," SM Seria10(lab)"," SM Seria10(lab)",,,,,,,,," CN Seria8(lab)"," CN Seria8(lab)"," CN Seria8(lab)"," CN Seria8(lab)",,," SM Seria10(lab)"," SM Seria10(lab)",,,,,,,,,,,,,,,,,
ED313," EEA Seria5(lab)[1]"," EEA Seria5(lab)[1]"," EEA Seria5(lab)[1]"" EEA Seria5(lab)[2]"," EEA Seria5(lab)[1]"" EEA Seria5(lab)[2]"," EEA Seria5(lab)[2]"," EEA Seria5(lab)[2]"," EEA Seria4(lab)[1]"," EEA Seria4(lab)[1]",,,,,,,,," EEA Seria3(lab)[2]"," EEA Seria3(lab)[2]"," EEA Seria4(lab)[1]"," EEA Seria4(lab)[1]",,," EEA Seria3(lab)[2]"," EEA Seria3(lab)[2]",,,,," EEA Seria5(lab)[1]"," EEA Seria5(lab)[1]"," EEA Seria3(lab)[2]"" EEA Seria5(lab)[2]"," EEA Seria3(lab)[2]"" EEA Seria5(lab)[2]"," EEA Seria3(lab)[1]"," EEA Seria3(lab)[1]",,,,," EEA Seria3(lab)[1]"" EEA Seria3(lab)[2]"," EEA Seria3(lab)[1]"" EEA Seria3(lab)[2]",,," EEA Seria4(lab)[2]"," EEA Seria4(lab)[2]"," EEA Seria4(lab)[1]"" EEA Seria4(lab)[2]"," EEA Seria4(lab)[1]"" EEA Seria4(lab)[2]"," EEA Seria4(lab)[2]"" EEA Seria4(lab)[2]"," EEA Seria4(lab)[2]"" EEA Seria4(lab)[2]"," EEA Seria3(lab)[1]"," EEA Seria3(lab)[1]"," EEA Seria3(lab)[1]"" EEA Seria3(lab)[2]"," EEA Seria3(lab)[1]"" EEA Seria3(lab)[2]"," EEA Seria3(lab)[1]"," EEA Seria3(lab)[1]",,,,,,," EEA Seria5(lab)[1]"" EEA Seria5(lab)[2]"," EEA Seria5(lab)[1]"" EEA Seria5(lab)[2]"," EEA Seria5(lab)[1]"" EEA Seria5(lab)[2]"," EEA Seria5(lab)[1]"" EEA Seria5(lab)[2]"," EEA Seria4(lab)[1]"" EEA Seria4(lab)[2]"," EEA Seria4(lab)[1]"" EEA Seria4(lab)[2]"," EEA Seria4(lab)[1]"" EEA Seria4(lab)[2]"," EEA Seria4(lab)[1]"" EEA Seria4(lab)[2]",,,
EG103," BD Seria11(lab)"," BD Seria11(lab)"," BD Seria11(lab)"," BD Seria11(lab)"," UBD Seria13(lab)"," UBD Seria13(lab)"," UBD Seria13(lab)"," UBD Seria13(lab)"," UBD Seria13(lab)"," UBD Seria13(lab)"," UBD Seria13(lab)"," UBD Seria13(lab)",,," BD Seria11(lab)"," BD Seria11(lab)"," BD Seria11(lab)"," BD Seria11(lab)"," IOCLA Seria3(lab)"," IOCLA Seria3(lab)"," IOCLA Seria4(lab)"," IOCLA Seria4(lab)",,," IOCLA Seria4(lab)"," IOCLA Seria4(lab)",,," POO Seria3(lab)"," POO Seria3(lab)"," POO Seria3(lab)"," POO Seria3(lab)"," UBD Seria13(lab)"," UBD Seria13(lab)"," BD Seria11(lab)"," BD Seria11(lab)"," BD Seria11(lab)"," BD Seria11(lab)",,,,,,," LFA Seria8(sem)"," LFA Seria8(sem)"," IOCLA Seria4(lab)"," IOCLA Seria4(lab)"," IOCLA Seria5(lab)"," IOCLA Seria5(lab)"," IOCLA Seria4(lab)"," IOCLA Seria4(lab)"," IOCLA Seria5(lab)[1]"," IOCLA Seria5(lab)[1]",,,,," ISBD Seria15(lab)[1]"" ISBD Seria15(lab)[2]"" ISBD Seria15(lab)[1]"," ISBD Seria15(lab)[1]"" ISBD Seria15(lab)[2]"" ISBD Seria15(lab)[1]"," UBD Seria13(lab)"," UBD Seria13(lab)"," SABD Seria15(lab)[1]"" SABD Seria15(lab)[2]"" SABD Seria15(lab)[1]"," SABD Seria15(lab)[1]"" SABD Seria15(lab)[2]"" SABD Seria15(lab)[1]"," IOCLA Seria4(lab)"," IOCLA Seria4(lab)",,,,,
EG105,,," Progr Seria1(lab)"," Progr Seria1(lab)"," Progr Seria1(lab)"," Progr Seria1(lab)"," POO Seria4(lab)"," POO Seria4(lab)",,,,,,," Progr Seria2(lab)"," Progr Seria2(lab)"," Progr Seria2(lab)"," Progr Seria2(lab)"," Progr Seria2(lab)"," Progr Seria2(lab)"," Progr Seria2(lab)"," Progr Seria2(lab)"," Progr Seria1(lab)"," Progr Seria1(lab)"," Progr Seria1(lab)"," Progr Seria1(lab)",,," POO Seria5(lab)"," POO Seria5(lab)"," POO Seria5(lab)"," POO Seria5(lab)"," POO Seria5(lab)"," POO Seria5(lab)"," POO Seria4(lab)"" POO Seria5(lab)"," POO Seria4(lab)"" POO Seria5(lab)"," Progr Seria1(lab)"," Progr Seria1(lab)"," Progr Seria1(lab)"," Progr Seria1(lab)",,," Progr Seria1(lab)"," Progr Seria1(lab)"," Progr Seria1(lab)"," Progr Seria1(lab)"," Progr Seria2(lab)"," Progr Seria2(lab)"," Progr Seria2(lab)"," Progr Seria2(lab)"," Progr Seria1(lab)"," Progr Seria1(lab)"," Progr Seria1(lab)"," Progr Seria1(lab)",,," Progr Seria1(lab)"," Progr Seria1(lab)"," Progr Seria0(lab)"," Progr Seria0(lab)",,," POO Seria5(lab)"," POO Seria5(lab)",,," POO Seria4(lab)"," POO Seria4(lab)",,,
EG106," CPL Seria11(lab)"," CPL Seria11(lab)"," ISRM Seria23(lab)"" ISRM Seria23(lab)"," ISRM Seria23(lab)"" ISRM Seria23(lab)"," ISRM Seria23(lab)"," ISRM Seria23(lab)"," USO Seria2(lab)"," USO Seria2(lab)"," SCR Seria22(lab)"," SCR Seria22(lab)"," ASR Seria33(lab)"" ASR Seria33(lab)"," ASR Seria33(lab)"" ASR Seria33(lab)",,,,," CPL Seria11(lab)"," CPL Seria11(lab)"," PR Seria9(lab)"," PR Seria9(lab)"," PR Seria9(lab)"," PR Seria9(lab)"," SCR Seria23(lab)"" SCR Seria23(lab)"," SCR Seria23(lab)"" SCR Seria23(lab)"," PR Seria9(lab)"," PR Seria9(lab)"," SCR Seria23(lab)"," SCR Seria23(lab)"," CPL Seria11(lab)"," CPL Seria11(lab)"," PR Seria9(lab)"," PR Seria9(lab)",,," PR Seria9(lab)"," PR Seria9(lab)"," SO Seria22(p)"," SO Seria22(p)",,,,,,," USO Seria1(lab)"," USO Seria1(lab)"," USO Seria2(lab)"," USO Seria2(lab)"," USO Seria1(lab)"," USO Seria1(lab)"," GSR Seria23(lab)"," GSR Seria23(lab)",,," GSR Seria23(lab)"" GSR Seria23(lab)"," GSR Seria23(lab)"" GSR Seria23(lab)"," CPL Seria11(lab)"," CPL Seria11(lab)",,," PR Seria9(lab)"," PR Seria9(lab)"," USO Seria0(lab)"," USO Seria0(lab)",,," MASCR Seria32(lab)"" MASCR Seria32(lab)"," MASCR Seria32(lab)"" MASCR Seria32(lab)"," MASCR Seria32(lab)"," MASCR Seria32(lab)",
EG206," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)",,," CN Seria8(lab)"," CN Seria8(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," SMP Seria9(lab)"," SMP Seria9(lab)"," SMP Seria9(lab)"" SMP Seria9(lab)"," SMP Seria9(lab)"" SMP Seria9(lab)"," SMP Seria9(lab)"," SMP Seria9(lab)",,," Luarea deciziilor in e-guvernare Seria27"," Luarea deciziilor in e-guvernare Seria27"," LD Seria27(lab)"," LD Seria27(lab)"," PS Seria10(lab)"," PS Seria10(lab)"," PS Seria10(lab)"," PS Seria10(lab)"," PS Seria10(lab)"," PS Seria10(lab)",,,,," CN Seria8(lab)"," CN Seria8(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)",,,,," SM Seria10(lab)"," SM Seria10(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," SM Seria10(lab)"," SM Seria10(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," CN Seria7(lab)",,,,,
EG209,,,,," AA Seria3(lab)"," AA Seria3(lab)"," AA Seria3(lab)"," AA Seria3(lab)"," AA Seria4(lab)"," AA Seria4(lab)"," AA Seria4(lab)"," AA Seria4(lab)",,," AA Seria3(lab)"," AA Seria3(lab)"," AA Seria3(lab)"," AA Seria3(lab)"," AA Seria3(lab)"," AA Seria3(lab)"," AA Seria3(lab)"," AA Seria3(lab)",,,,,,," AA Seria5(lab)"," AA Seria5(lab)"," AA Seria5(lab)"," AA Seria5(lab)"," AA Seria3(lab)"," AA Seria3(lab)"," AA Seria3(lab)"," AA Seria3(lab)"," AA Seria3(lab)"," AA Seria3(lab)",,,,,,,,," AA Seria4(lab)"," AA Seria4(lab)"," AA Seria3(lab)"," AA Seria3(lab)"," AA Seria4(lab)"," AA Seria4(lab)"," AA Seria4(lab)"," AA Seria4(lab)",,,,,,," AA Seria5(lab)"," AA Seria5(lab)"," AA Seria5(lab)"," AA Seria5(lab)"," AA Seria5(lab)"," AA Seria5(lab)",,,,,
