	 ###ORAR de folosire a salilor de seminar ####
	 Semestrul I    Anul universitar 2014 – 2015
,LUNI,,,,,,,,,,,,,,MARTI,,,,,,,,,,,,,,MIERCURI,,,,,,,,,,,,,,JOI,,,,,,,,,,,,,,VINERI,,,,,,,,,,,,,,
SALA,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,
AN205,,," Mat1 Seria2(sem)"," Mat1 Seria2(sem)",," Mat1 Seria2(sem)"," Mat1 Seria2(sem)"," FC Seria3(sem)[2]"," FC Seria3(sem)[2]",,,,,,,," Mat2 Seria2(sem)"," Mat2 Seria2(sem)"," Mat2 Seria2(sem)"," Mat2 Seria2(sem)"," Mat2 Seria2(sem)"," Mat2 Seria2(sem)"," Mat2 Seria2(sem)"," Mat2 Seria2(sem)",,,,,,,,," Mat2 Seria1(sem)"," Mat2 Seria1(sem)"," Mat2 Seria1(sem)"," Mat2 Seria1(sem)"," Mat2 Seria2(sem)"," Mat2 Seria2(sem)"," Mat2 Seria2(sem)"," Mat2 Seria2(sem)",,," LFA Seria7(sem)"," LFA Seria7(sem)",,," Mat1 Seria2(sem)"," Mat1 Seria2(sem)"," Mat1 Seria1(sem)"," Mat1 Seria1(sem)"," LFA Seria7(sem)"," LFA Seria7(sem)"," LFA Seria7(sem)"," LFA Seria7(sem)",,,,,,,,," FC Seria3(sem)[1]"" FC Seria3(sem)[2]"," FC Seria3(sem)[1]"" FC Seria3(sem)[2]"," FC Seria3(sem)[1]"," FC Seria3(sem)[1]"," FC Seria3(sem)[2]"," FC Seria3(sem)[2]",,,
AN210,,,,," LFA Seria8(sem)"," LFA Seria8(sem)"," LFA Seria6(sem)"," LFA Seria6(sem)"," LFA Seria6(sem)"," LFA Seria6(sem)",,,,," LFA Seria6(sem)"" Categorii si Computer Science Seria17"," LFA Seria6(sem)"" Categorii si Computer Science Seria17",,," PSI Seria5(sem)[1]"," PSI Seria5(sem)[1]"," Mat1 Seria1(sem)"," Mat1 Seria1(sem)"," Mat1 Seria1(sem)"," Mat1 Seria1(sem)",,,,,,," Mat2 Seria0(sem)"," Mat2 Seria0(sem)"," Mat1 Seria0(sem)"," Mat1 Seria0(sem)"," Mat1 Seria0(sem)"," Mat1 Seria0(sem)"," Mat1 Seria2(sem)"," Mat1 Seria2(sem)"," Mat1 Seria2(sem)"," Mat1 Seria2(sem)",,,,,," Mat2 Seria0(sem)"," Mat2 Seria0(sem)",,,,,,,,,,,,,,,,,,,,,,,,
AN213,,," IF Seria2(sem)[2]"" Franceza Seria5(sem)[1]"," IF Seria2(sem)[2]"" Franceza Seria5(sem)[1]",,," FCT Seria4(sem)[1]"" FCT Seria4(sem)[2]"," FCT Seria4(sem)[1]"" FCT Seria4(sem)[2]"," Mat2 Seria0(sem)"," Mat2 Seria0(sem)"," Mat2 Seria0(sem)"," Mat2 Seria0(sem)",,," LFA Seria7(sem)"," LFA Seria7(sem)",,," FCT Seria4(sem)[2]"," FCT Seria4(sem)[2]"," Logica Seria1(sem)[1]"," Logica Seria1(sem)[1]"," Mat2 Seria1(sem)"," Mat2 Seria1(sem)",,,,,,,,,,," Mat2 Seria1(sem)"," Mat2 Seria1(sem)",,,,,,,,," Mat1 Seria1(sem)"," Mat1 Seria1(sem)"," FCT Seria4(sem)[1]"," FCT Seria4(sem)[1]"," Engleza Seria1(sem)[2]"" Germana Seria5(sem)[1]"," Engleza Seria1(sem)[2]"" Germana Seria5(sem)[1]",,," FCT Seria4(sem)[1]"," FCT Seria4(sem)[1]",,,,," Mat2 Seria1(sem)"," Mat2 Seria1(sem)",,,,," Mat1 Seria1(sem)"," Mat1 Seria1(sem)",,,,,
AN217,,,,," Engleza Seria0(sem)[1]"," Engleza Seria0(sem)[1]"," Franceza Seria2(sem)[1]"," Franceza Seria2(sem)[1]",,,,,,," Engleza Seria3(sem)[2]"," Engleza Seria3(sem)[2]"," Engleza Seria3(sem)[1]"" Engleza Seria3(sem)[2]"," Engleza Seria3(sem)[1]"" Engleza Seria3(sem)[2]",,,,,,," PSA Seria31(lab)"" PSA Seria31(lab)"" PSA Seria31(lab)"," PSA Seria31(lab)"" PSA Seria31(lab)"" PSA Seria31(lab)",,," LFA Seria6(sem)"," LFA Seria6(sem)",,,,,,,,,,,,," Engleza Seria0(sem)[2]"," Engleza Seria0(sem)[2]"," Engleza Seria0(sem)[1]"" Engleza Seria5(sem)[2]"," Engleza Seria0(sem)[1]"" Engleza Seria5(sem)[2]"," Mat1 Seria1(sem)"," Mat1 Seria1(sem)"," Engleza Seria2(sem)[2]"," Engleza Seria2(sem)[2]",,,,,,,,," Engleza Seria2(sem)[1]"," Engleza Seria2(sem)[1]",,,,,,,,,,,
BN316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BN319,,," Engleza Seria2(sem)[1]"," Engleza Seria2(sem)[1]"," Engleza Seria3(sem)[1]"," Engleza Seria3(sem)[1]",," Engleza Seria3(sem)[2]"," Engleza Seria3(sem)[2]",,,,,,,,,,,," Engleza Seria1(sem)[1]"," Engleza Seria1(sem)[1]",,,,,,,,,,," Engleza Seria1(sem)[2]"," Engleza Seria1(sem)[2]",,," Mat1 Seria2(sem)"," Mat1 Seria2(sem)",,,,," Engleza Seria0(sem)[1]"" PSI Seria5(sem)[2]"," Engleza Seria0(sem)[1]"" PSI Seria5(sem)[2]"," Engleza Seria0(sem)[1]"," Engleza Seria0(sem)[1]"," Engleza Seria2(sem)[2]"" Engleza Seria5(sem)[1]"," Engleza Seria2(sem)[2]"" Engleza Seria5(sem)[1]"," Engleza Seria2(sem)[2]"," Engleza Seria2(sem)[2]"," Engleza Seria5(sem)[2]"," Engleza Seria5(sem)[2]",,,,,,,,," Mat1 Seria0(sem)"," Mat1 Seria0(sem)"," Germana Seria2(sem)[1]"," Germana Seria2(sem)[1]"," IF Seria2(sem)[2]"" IF Seria2(sem)[1]"," IF Seria2(sem)[2]"" IF Seria2(sem)[1]",,,,,
BN219," IR Seria0(sem)[1]"," IR Seria0(sem)[1]"," IR Seria0(sem)[2]"" IR Seria0(sem)[1]"" IR Seria0(sem)[2]"," IR Seria0(sem)[2]"" IR Seria0(sem)[1]"" IR Seria0(sem)[2]"," IR Seria0(sem)[2]"" IR Seria0(sem)[1]"" IR Seria0(sem)[2]"," IR Seria0(sem)[2]"" IR Seria0(sem)[1]"" IR Seria0(sem)[2]"," IF Seria2(sem)[2]"," IF Seria2(sem)[2]",,,,,,,,," Engleza Seria4(sem)[1]"" Engleza Seria4(sem)[2]"," Engleza Seria4(sem)[1]"" Engleza Seria4(sem)[2]"," Engleza Seria4(sem)[2]"" Engleza Seria4(sem)[1]"," Engleza Seria4(sem)[2]"" Engleza Seria4(sem)[1]",,,,,,,,,,," Mat2 Seria0(sem)"," Mat2 Seria0(sem)"," Engleza Seria1(sem)[2]"," Engleza Seria1(sem)[2]",,,,,,,,,,," PSI Seria5(sem)[1]"" PSI Seria5(sem)[2]"," PSI Seria5(sem)[1]"" PSI Seria5(sem)[2]"," Engleza Seria4(sem)[2]"" PSI Seria5(sem)[1]"," Engleza Seria4(sem)[2]"" PSI Seria5(sem)[1]"," Engleza Seria1(sem)[1]"," Engleza Seria1(sem)[1]",,,,,,," Mat2 Seria1(sem)"," Mat2 Seria1(sem)",,," Mat2 Seria0(sem)"," Mat2 Seria0(sem)"," Mat2 Seria0(sem)"," Mat2 Seria0(sem)",,,,,,,
EC002," Infrastructura si Servicii pentru Retele Mobile Seria23"," Infrastructura si Servicii pentru Retele Mobile Seria23"," Cloud Computing Seria24"," Cloud Computing Seria24",,,,," Auditarea securitatii retelelor Seria33"," Auditarea securitatii retelelor Seria33"," Securitatea calculatoarelor si a retelelor Seria22"," Securitatea calculatoarelor si a retelelor Seria22",,," PEDAGOGIE Seria4"" PEDAGOGIE Seria5"," PEDAGOGIE Seria4"" PEDAGOGIE Seria5"," Sisteme Incorporate Seria10"," Sisteme Incorporate Seria10"," Sisteme Incorporate Seria10"," Sisteme cu Microprocesoare Seria10"," Sisteme cu Microprocesoare Seria10"," Sisteme cu Microprocesoare Seria10"," Managementul Marketingului Seria31"," Managementul Marketingului Seria31"," Securitatea calculatoarelor si a retelelor Seria23"," Securitatea calculatoarelor si a retelelor Seria23",,," Metode si Algoritmi de Planificare Seria22"," Metode si Algoritmi de Planificare Seria22",,,,," ECONOMIE GENERALA Seria6"," Managementul Proiectelor Software Seria13"," Managementul Proiectelor Software Seria13"," Managementul Proiectelor Software Seria13"," Geometrie Computationala Seria17"," Geometrie Computationala Seria17",,," Mat1 Seria0(sem)"," Mat1 Seria0(sem)"," Mat1 Seria0(sem)"," Mat1 Seria0(sem)"," LFA Seria8(sem)"," LFA Seria8(sem)"," PED Seria3(sem)"," PED Seria3(sem)",,," Politici in sisteme distribuite Seria27"" Politici in sisteme distribuite Seria34"," Politici in sisteme distribuite Seria27"" Politici in sisteme distribuite Seria34",,," Management financiar Seria21"," Management financiar Seria21",,,,,,," Metode Avansate in Securitatea Calculatoarelor si Retelelor Seria32"," Metode Avansate in Securitatea Calculatoarelor si Retelelor Seria32",,,,,
BN028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Engleza Seria1(sem)[1]"," Engleza Seria1(sem)[1]",,,,,,,,,,,,,,,,,,,,,
