	 ###ORAR Conf. A. MOLDOVEANU ####
	 Semestrul I    Anul universitar 2014 – 2015
ZIUA,ORA, Materia si sala
LUNI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MARTI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,"Dezvoltarea Sistemelor de Realitate Virtuala  6CM-GMRV EG204  ",
,19-20,"Dezvoltarea Sistemelor de Realitate Virtuala  6CM-GMRV EG204  ",
,20-21,
,21-22,
MIERCURI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,"Tehnici de modelare 3D  5CM-GMRV EG204  ",
,11-12,"Tehnici de modelare 3D  5CM-GMRV EG204  ",
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,"Introducere in Realitatea Virtuala  5CM-GMRV EG204  ",
,19-20,"Introducere in Realitatea Virtuala  5CM-GMRV EG204  ",
,20-21,
,21-22,
VINERI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E
