	 ###ORAR Conf. C. BOIANGIU ####
	 Semestrul I    Anul universitar 2014 – 2015
ZIUA,ORA, Materia si sala
LUNI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MARTI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MIERCURI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,"Managementul Proiectelor Software  4C5 EC002  ",
,16-17,"Managementul Proiectelor Software  4C5 EC002  ",
,17-18,"Managementul Proiectelor Software  4C5 EC002  ",
,18-19,"Geometrie Computationala  5CM-G1 EC002  ",
,19-20,"Geometrie Computationala  5CM-G1 EC002  ",
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,"Analiza si Extragerea Automata a Continutului Documentelor  6CM-GMRV EC102  ",
,13-14,"Analiza si Extragerea Automata a Continutului Documentelor  6CM-GMRV EC102  ",
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
VINERI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E
