	 ###ORAR Conf. D. POPESCU ####
	 Semestrul I    Anul universitar 2014 – 2015
ZIUA,ORA, Materia si sala
LUNI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,"CALCULATOARE NUMERICE II  3CB EC101  ",
,18-19,"CALCULATOARE NUMERICE II  3CB EC101  ",
,19-20,"CALCULATOARE NUMERICE II  3CB EC101  ",
,20-21,
,21-22,
MARTI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,"CALCULATOARE NUMERICE II  3CC EC101  ",
,18-19,"CALCULATOARE NUMERICE II  3CC EC101  ",
,19-20,"CALCULATOARE NUMERICE II  3CC EC101  ",
,20-21,
,21-22,
MIERCURI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,"Circuite inteligente bazate pe logica fuzzy  5CM-AAC EF001  ",
,17-18,"Circuite inteligente bazate pe logica fuzzy  5CM-AAC EF001  ",
,18-19,
,19-20,
,20-21,
,21-22,
VINERI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E
