	 ###ORAR Conf. E. SLUSANSCHI ####
	 Semestrul I    Anul universitar 2014 – 2015
ZIUA,ORA, Materia si sala
LUNI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MARTI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,"Parallel Programming  5CM-SCPD-en ED202  ",
,19-20,"Parallel Programming  5CM-SCPD-en ED202  ",
,20-21,
,21-22,
MIERCURI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,"Metode si tehnici de programare in High Performance Computing  6CM-AAC ED202  ",
,19-20,"Metode si tehnici de programare in High Performance Computing  6CM-AAC ED202  ",
,20-21,
,21-22,
VINERI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,"Tehnici de Comunicare si Scriere Tehnica  5CM-G1 EC105  ",
,19-20,"Tehnici de Comunicare si Scriere Tehnica  5CM-G1 EC105  ",
,20-21,
,21-22,
E
