	 ###ORAR Conf. F. POP ####
	 Semestrul I    Anul universitar 2014 – 2015
ZIUA,ORA, Materia si sala
LUNI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MARTI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,"PROGRAMAREA CALCULATOARELOR  1CA AN030  ",
,13-14,"PROGRAMAREA CALCULATOARELOR  1CA AN030  ",
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MIERCURI,08-09,"Metode si Algoritmi de Planificare  5CM-SCPD-en EC002  ",
,09-10,"Metode si Algoritmi de Planificare  5CM-SCPD-en EC002  ",
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,"Architectura orientata pe servicii a sistemelor informatice  5CM-ABD si 5CM-SSA EC102  ",
,15-16,"Architectura orientata pe servicii a sistemelor informatice  5CM-ABD si 5CM-SSA EC102  ",
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
VINERI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E
