	 ###ORAR Conf. Lorina NEGREANU ####
	 Semestrul I    Anul universitar 2014 – 2015
ZIUA,ORA, Materia si sala
LUNI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,"Software Verification and Validation  6CM-IA-en EC102  ",
,15-16,"Software Verification and Validation  6CM-IA-en EC102  ",
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MARTI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,"LIMBAJE FORMALE SI AUTOMATE  3CA si 3CB EC105  ",
,15-16,"LIMBAJE FORMALE SI AUTOMATE  3CA si 3CB EC105  ",
,16-17,"LIMBAJE FORMALE SI AUTOMATE  3CA si 3CB EC105  ",
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MIERCURI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
VINERI,08-09,"PROGRAMARE ORIENTATA PE OBIECTE  2CA EC004  ",
,09-10,"PROGRAMARE ORIENTATA PE OBIECTE  2CA EC004  ",
,10-11,"PROGRAMARE ORIENTATA PE OBIECTE  2CA EC004  ",
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E
