	 ###ORAR Conf. R. RUGHINIS ####
	 Semestrul I    Anul universitar 2014 – 2015
ZIUA,ORA, Materia si sala
LUNI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,"UTILIZAREA SISTEMELOR DE OPERARE  1CA EC105  ",
,15-16,"UTILIZAREA SISTEMELOR DE OPERARE  1CA EC105  ",
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MARTI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,"RETELE LOCALE  3CB EC004  ",
,18-19,"RETELE LOCALE  3CB EC004  ",
,19-20,"RETELE LOCALE  3CB EC004  ",
,20-21,
,21-22,
MIERCURI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,"RETELE LOCALE  3CC EC004  ",
,18-19,"RETELE LOCALE  3CC EC004  ","Sisteme de Operare  5CM-SCPD-en EC102  ",
,19-20,"RETELE LOCALE  3CC EC004  ","Sisteme de Operare  5CM-SCPD-en EC102  ",
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,"PROIECTAREA RETELELOR  4C1 EC105  ",
,19-20,"PROIECTAREA RETELELOR  4C1 EC105  ",
,20-21,"PROIECTAREA RETELELOR  4C1 EC105  ",
,21-22,
VINERI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E
