	 ###ORAR Prof. F. IACOB ####
	 Semestrul I    Anul universitar 2014 – 2015
ZIUA,ORA, Materia si sala
LUNI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,"INTRODUCERE IN INFORMATICA  1CA si 1CB si 1CC EC105 [2] ",
,13-14,"INTRODUCERE IN INFORMATICA  1CA si 1CB si 1CC EC105 [2] ",
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MARTI,08-09,
,09-10,
,10-11,"Sisteme avansate de analiza si prelucrare a imaginilor  5CM-GMRV EC102  ",
,11-12,"Sisteme avansate de analiza si prelucrare a imaginilor  5CM-GMRV EC102  ",
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MIERCURI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
VINERI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,"STRUCTURI MULTIPROCESOR  4C1 EC101  ",
,15-16,"STRUCTURI MULTIPROCESOR  4C1 EC101  ",
,16-17,"STRUCTURI MULTIPROCESOR  4C1 EC101  ",
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E
