	 ###ORAR Prof. Florica MOLDOVEANU ####
	 Semestrul I    Anul universitar 2014 – 2015
ZIUA,ORA, Materia si sala
LUNI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MARTI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MIERCURI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,"Sisteme de Prelucrare Grafica  4C4 EC101  ",
,15-16,"Sisteme de Prelucrare Grafica  4C4 EC101  ",
,16-17,"Sisteme de Prelucrare Grafica  4C4 EC101  ",
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,"ELEMENTE DE GRAFICA PE CALCULATOR  3CA EC004  ",
,12-13,"ELEMENTE DE GRAFICA PE CALCULATOR  3CA EC004  ",
,13-14,"ELEMENTE DE GRAFICA PE CALCULATOR  3CA EC004  ",
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
VINERI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E
