	 ###ORAR Prof. St. TRAUSAN-MATU ####
	 Semestrul I    Anul universitar 2014 – 2015
ZIUA,ORA, Materia si sala
LUNI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,"Sisteme adaptive si colaborative  5CM-e-GOV si 5CM-ISI EC102  ",
,19-20,"Sisteme adaptive si colaborative  5CM-e-GOV si 5CM-ISI EC102  ",
,20-21,
,21-22,
MARTI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MIERCURI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,"Interfata Om Calculator  4C4 EC101  ",
,18-19,"Interfata Om Calculator  4C4 EC101  ",
,19-20,"Interfata Om Calculator  4C4 EC101  ",
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
VINERI,08-09,
,09-10,
,10-11,
,11-12,"ANALIZA ALGORITMILOR  2CA EC101  ",
,12-13,"ANALIZA ALGORITMILOR  2CA EC101  ",
,13-14,"ANALIZA ALGORITMILOR  2CA EC101  ",
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E
