	 ###ORAR S.L. A. SURPATEANU ####
	 Semestrul I    Anul universitar 2014 – 2015
ZIUA,ORA, Materia si sala
LUNI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MARTI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,"ELEMENTE DE ELECTRONICA ANALOGICA  2CC EC105  ",
,18-19,"ELEMENTE DE ELECTRONICA ANALOGICA  2CC EC105  ",
,19-20,"ELEMENTE DE ELECTRONICA ANALOGICA  2CC EC105  ",
,20-21,
,21-22,
MIERCURI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,"ELEMENTE DE ELECTRONICA ANALOGICA  2CB EC105  ",
,17-18,"ELEMENTE DE ELECTRONICA ANALOGICA  2CB EC105  ",
,18-19,"ELEMENTE DE ELECTRONICA ANALOGICA  2CB EC105  ",
,19-20,
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
VINERI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E
