	 ###ORAR S.l. D. TUDOSE ####
	 Semestrul I    Anul universitar 2014 – 2015
ZIUA,ORA, Materia si sala
LUNI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MARTI,08-09,
,09-10,
,10-11,"Sisteme Incorporate  4C2 EC002  ",
,11-12,"Sisteme Incorporate  4C2 EC002  ",
,12-13,"Sisteme Incorporate  4C2 EC002  ",
,13-14,
,14-15,
,15-16,
,16-17,"Retele Wireless de Senzori  6CM-AAC ED218  ",
,17-18,"Retele Wireless de Senzori  6CM-AAC ED218  ",
,18-19,
,19-20,
,20-21,
,21-22,
MIERCURI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,"CALCULATOARE NUMERICE II  3CA A02Leu  ",
,16-17,"CALCULATOARE NUMERICE II  3CA A02Leu  ",
,17-18,"CALCULATOARE NUMERICE II  3CA A02Leu  ",
,18-19,
,19-20,
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
VINERI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E
