	 ###ORAR s.l. Irina MOCANU ####
	 Semestrul I    Anul universitar 2014 – 2015
ZIUA,ORA, Materia si sala
LUNI,08-09,"LIMBAJE FORMALE SI AUTOMATE  3CC EC101  ",
,09-10,"LIMBAJE FORMALE SI AUTOMATE  3CC EC101  ",
,10-11,"LIMBAJE FORMALE SI AUTOMATE  3CC EC101  ",
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MARTI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,"Tehnici de programare pentru prelucrari grafice de inalta performanta  5CM-GMRV EG404  ",
,15-16,"Tehnici de programare pentru prelucrari grafice de inalta performanta  5CM-GMRV EG404  ",
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MIERCURI,08-09,"ELEMENTE DE GRAFICA PE CALCULATOR  3CB EC004  ",
,09-10,"ELEMENTE DE GRAFICA PE CALCULATOR  3CB EC004  ",
,10-11,"ELEMENTE DE GRAFICA PE CALCULATOR  3CB EC004  ",
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
VINERI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E
